dgp,K,median_D,floor,reps,signal,rho_lcb
gaussian,20,0.4256211062174544,0.3244428422615251,300,,
gaussian,30,0.33200602712749394,0.2626128657194451,300,,
gaussian,50,0.24808324677916732,0.20203050891044214,300,,
gaussian,94,0.17637024986120753,0.1466471150213533,300,,
gaussian,150,0.13832159812303257,0.11585688927269845,300,,
gaussian,300,0.09667632694002345,0.08178608201095307,300,,
t3,20,0.5048778705487132,0.3244428422615251,300,,
t3,30,0.3749116958492178,0.2626128657194451,300,,
t3,50,0.27284883908360447,0.20203050891044214,300,,
t3,94,0.19089055610668265,0.1466471150213533,300,,
t3,150,0.14623458616076634,0.11585688927269845,300,,
t3,300,0.10098513408746816,0.08178608201095307,300,,
skew,20,0.4555812106918401,0.3244428422615251,300,,
skew,30,0.3508677243616772,0.2626128657194451,300,,
skew,50,0.2559054228198103,0.20203050891044214,300,,
skew,94,0.18169147746676245,0.1466471150213533,300,,
skew,150,0.1412337615672084,0.11585688927269845,300,,
skew,300,0.09763326192096186,0.08178608201095307,300,,
mrp,20,0.3798140748462929,0.3244428422615251,300,,
mrp,30,0.3082374138461701,0.2626128657194451,300,,
mrp,50,0.23647699774549769,0.20203050891044214,300,,
mrp,94,0.1723367234605403,0.1466471150213533,300,,
mrp,150,0.13584625094907782,0.11585688927269845,300,,
mrp,300,0.09628633610330922,0.08178608201095307,300,,
mrp_rho,120,,,300,0.5,0.5364913392443061
mrp_rho,120,,,300,1.0,0.3207947571698836
mrp_rho,120,,,300,2.0,0.17068092807302665
mrp_rho,120,,,300,4.0,0.08662785729148857
