family,K,reps,vovk_floor,vovk_floor_split,mc_se,cov_loo,w_loo,cov_split,w_split,cov_oracle,w_oracle,cov_grand,w_grand,w_split_over_loo
gaussian,6,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
gaussian,8,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
gaussian,10,20000,0.9090909090909091,,0.0021213203435596424,0.9107,2.7054587265679935,1.0,inf,0.9106,2.571377507666447,0.84525,2.4349128539111864,inf
gaussian,15,20000,0.9375,,0.0021213203435596424,0.93735,2.802578242247516,1.0,inf,0.9376,2.7106750175153977,0.90435,2.615739692764337,inf
gaussian,20,20000,0.9047619047619048,0.9090909090909091,0.0021213203435596424,0.90415,2.5347129054692332,0.90835,2.690190616329659,0.9048,2.472312562179343,0.8735,2.4079772601957687,1.0613393771440334
gaussian,30,20000,0.9032258064516129,0.9375,0.0021213203435596424,0.90255,2.4794537775432595,0.93815,2.797693260412252,0.90245,2.439549007472497,0.88295,2.396805318291832,1.1283506414805267
gaussian,60,20000,0.9016393442622951,0.9032258064516129,0.0021213203435596424,0.90125,2.4296615077782278,0.90365,2.4831014034294934,0.90065,2.4090145400390535,0.89075,2.389167149315248,1.0219947904184123
heavy_tail,6,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
heavy_tail,8,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
heavy_tail,10,20000,0.9090909090909091,,0.0021213203435596424,0.91355,3.902307368792157,1.0,inf,0.9134,3.8670643582376645,0.88455,3.512076631912961,inf
heavy_tail,15,20000,0.9375,,0.0021213203435596424,0.93745,4.481480191531911,1.0,inf,0.93835,4.457887000782244,0.92545,4.182714845429804,inf
heavy_tail,20,20000,0.9047619047619048,0.9090909090909091,0.0021213203435596424,0.9045,3.224752169146261,0.91025,3.950310112235332,0.9049,3.1975826163945533,0.89135,3.0635145606889322,1.224996497414919
heavy_tail,30,20000,0.9032258064516129,0.9375,0.0021213203435596424,0.90075,3.045209610755108,0.93375,4.466919537296221,0.90105,3.025972314932659,0.8922,2.9437026237299246,1.4668676735814508
heavy_tail,60,20000,0.9016393442622951,0.9032258064516129,0.0021213203435596424,0.9009,2.902441588216602,0.90385,3.056555292849119,0.9004,2.893081039720526,0.896,2.8540675617463434,1.0530979521717823
skewed,6,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
skewed,8,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
skewed,10,20000,0.9090909090909091,,0.0021213203435596424,0.91615,3.4310870160791542,1.0,inf,0.91155,3.3315349237057004,0.8852,3.087978314471211,inf
skewed,15,20000,0.9375,,0.0021213203435596424,0.93825,3.727706668813328,1.0,inf,0.93555,3.657359929943402,0.92305,3.479192890892442,inf
skewed,20,20000,0.9047619047619048,0.9090909090909091,0.0021213203435596424,0.9109,3.115287164270453,0.91195,3.37953862812157,0.90975,3.066074499866156,0.8958,2.9595228060569254,1.0848241108819257
skewed,30,20000,0.9032258064516129,0.9375,0.0021213203435596424,0.90415,3.0127220030218256,0.9376,3.688791537438398,0.90045,2.979262731976157,0.893,2.9122979362544448,1.2244048849307902
skewed,60,20000,0.9016393442622951,0.9032258064516129,0.0021213203435596424,0.9046,2.917348977741629,0.90375,2.9959512767289382,0.90395,2.9019545649292073,0.899,2.868726494779283,1.0269430567227362
ar_rounds,6,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
ar_rounds,8,20000,1.0,,0.0021213203435596424,1.0,inf,1.0,inf,1.0,inf,1.0,inf,
ar_rounds,10,20000,0.9090909090909091,,0.0021213203435596424,0.9084,2.61070262912442,1.0,inf,0.9112,2.485151169770189,0.85385,2.3496323662119596,inf
ar_rounds,15,20000,0.9375,,0.0021213203435596424,0.93845,2.718296190988004,1.0,inf,0.93765,2.6309068631793058,0.91185,2.5370764449221332,inf
ar_rounds,20,20000,0.9047619047619048,0.9090909090909091,0.0021213203435596424,0.9077,2.4350636688541787,0.9115,2.596951823296443,0.9067,2.3743268893546325,0.8807,2.31331048541147,1.0664821033276886
ar_rounds,30,20000,0.9032258064516129,0.9375,0.0021213203435596424,0.89935,2.3796329587807397,0.93705,2.7141378333310535,0.90035,2.339547842851545,0.88135,2.300311860154696,1.14056994517411
ar_rounds,60,20000,0.9016393442622951,0.9032258064516129,0.0021213203435596424,0.90035,2.325331025205662,0.90195,2.3777593626750755,0.901,2.3069704252311074,0.8911,2.2865755081188825,1.0225466124612417
