iso,n_items,n_persist,n_items_sd,n_persist_sd,iso3,in_core,in_core_supdem,d_supdem,claassen_declining
8,4,4,3.0,3.0,ALB,True,True,-0.10561401600000003,True
12,4,1,3.0,1.0,DZA,False,False,0.257827673,False
31,4,2,3.0,1.0,AZE,True,False,0.05436786100000002,False
32,5,0,4.0,0.0,ARG,False,False,-0.09688241199999999,True
36,5,1,4.0,1.0,AUS,False,False,0.09360038500000001,False
50,4,0,3.0,0.0,BGD,False,False,1.325016439,False
51,4,0,3.0,0.0,ARM,False,False,-0.302247268,True
70,4,3,3.0,2.0,BIH,True,True,-0.11663747300000002,True
76,5,0,4.0,0.0,BRA,False,False,-0.481568142,True
100,4,1,3.0,0.0,BGR,False,False,0.2905292020000001,False
112,4,1,3.0,1.0,BLR,False,False,0.6232447050000001,False
124,4,0,3.0,0.0,CAN,False,False,-0.046281954999999986,True
152,5,0,4.0,0.0,CHL,False,False,-0.15150838100000003,True
156,5,1,4.0,1.0,CHN,False,False,0.014983204999999944,False
158,5,0,4.0,0.0,TWN,False,False,0.131582381,False
170,5,0,4.0,0.0,COL,False,False,0.058080490999999956,False
196,5,3,4.0,2.0,CYP,True,True,0.331925562,False
233,4,1,3.0,1.0,EST,False,False,-0.07258269099999999,True
246,4,2,3.0,2.0,FIN,True,True,0.09081051299999987,False
268,5,1,4.0,1.0,GEO,False,False,-0.32928833300000004,True
276,5,1,4.0,1.0,DEU,False,False,0.5133314789999999,False
288,5,2,4.0,1.0,GHA,True,False,-0.38641194300000004,True
348,4,1,3.0,0.0,HUN,False,False,0.41125372399999993,False
356,5,0,4.0,0.0,IND,False,False,-0.5030588379999998,True
360,4,1,3.0,0.0,IDN,False,False,-0.9035996419999999,True
364,4,1,3.0,1.0,IRN,False,False,-0.00031419700000001605,True
368,3,0,3.0,0.0,IRQ,False,False,0.07760882999999996,False
392,5,0,4.0,0.0,JPN,False,False,0.005354060000000001,False
400,5,1,4.0,1.0,JOR,False,False,0.27074798800000005,False
410,5,0,4.0,0.0,KOR,False,False,0.42735147100000004,False
417,4,1,3.0,1.0,KGZ,False,False,-0.03376720199999994,True
458,5,2,4.0,2.0,MYS,True,True,0.32289176899999994,False
484,5,1,4.0,1.0,MEX,False,False,-0.5755160239999999,True
498,4,0,3.0,0.0,MDA,False,False,-0.27561585200000005,True
504,5,1,4.0,1.0,MAR,False,False,-0.234540961,True
528,5,0,4.0,0.0,NLD,False,False,0.326216497,False
554,4,0,3.0,0.0,NZL,False,False,0.034255227,False
566,4,0,3.0,0.0,NGA,False,False,-0.160224731,True
578,4,1,3.0,0.0,NOR,False,False,0.10154653700000038,False
586,4,1,3.0,0.0,PAK,False,False,0.25179110299999996,False
604,5,0,4.0,0.0,PER,False,False,-0.12569528500000005,True
608,4,0,3.0,0.0,PHL,False,False,0.14417535799999992,False
616,5,1,4.0,1.0,POL,False,False,0.822389534,False
642,5,0,4.0,0.0,ROU,False,False,-0.096884407,True
643,5,0,4.0,0.0,RUS,False,False,0.39272844100000004,False
646,2,2,1.0,1.0,RWA,True,False,-0.538550774,True
688,5,0,4.0,0.0,SRB,False,False,-0.180105485,True
702,3,0,3.0,0.0,SGP,False,False,-1.147452242,True
704,3,2,2.0,2.0,VNM,True,True,-1.032413369,True
705,5,0,4.0,0.0,SVN,False,False,-0.33378907799999996,True
710,5,1,4.0,1.0,ZAF,False,False,-0.41781903099999995,True
716,4,1,3.0,1.0,ZWE,False,False,-0.525142372,True
724,5,0,4.0,0.0,ESP,False,False,0.029757753999999914,False
752,5,1,4.0,1.0,SWE,False,False,0.13360243699999996,False
756,4,2,3.0,2.0,CHE,True,True,0.07537187000000012,False
764,5,2,4.0,2.0,THA,True,True,-0.874395881,True
780,5,2,4.0,2.0,TTO,True,True,0.060467584000000005,False
792,5,1,4.0,1.0,TUR,False,False,0.006211743000000047,False
804,5,1,4.0,1.0,UKR,False,False,0.800888635,False
807,4,1,3.0,0.0,MKD,False,False,0.04038777900000001,False
818,4,1,3.0,0.0,EGY,False,False,-0.7332393529999999,True
826,2,0,2.0,0.0,GBR,False,False,0.281572409,False
840,5,0,4.0,0.0,USA,False,False,-0.03948996299999996,True
858,5,0,4.0,0.0,URY,False,False,-0.277029172,True
862,4,1,3.0,1.0,VEN,False,False,-0.059085288999999985,True
