cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
AL,6,1201,0.9725228975853455,0.9758534554537885,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
AT,1,2257,0.9667700487372618,0.951262738147984,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
AT,2,2256,0.9658687943262412,0.9512411347517731,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
AT,3,2405,0.9505197505197506,0.9459459459459459,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
AT,7,1795,0.9805013927576601,0.9844011142061281,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
AT,8,2010,0.9865671641791045,0.9855721393034826,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
AT,9,2499,0.9795918367346939,0.9823929571828731,1.0,1.0,1.0,1.0,1.0,1.0,2007,105,core
AT,10,2003,0.9920119820269596,0.9945082376435347,1.0,1.0,1.0,1.0,1.0,1.0,2003,118,core
AT,11,2354,0.9889549702633815,0.9842820730671198,1.0,1.0,1.0,1.0,1.0,1.0,845,115,core
BE,1,1899,0.9347024749868352,0.9515534491837809,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,2,1778,0.9791901012373453,0.9763779527559056,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,3,1798,0.9844271412680756,0.9877641824249166,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,4,1760,0.9886363636363636,0.9863636363636363,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,5,1704,0.9865023474178404,0.9900234741784038,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,6,1869,0.9925093632958801,0.9919743178170144,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,7,1769,0.9909553420011306,0.996608253250424,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,8,1766,0.9898074745186863,0.9949037372593431,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BE,9,1767,0.990945104697227,0.9864176570458404,1.0,1.0,1.0,1.0,1.0,1.0,273,11,core
BE,10,1341,0.9835943325876212,0.9895600298284862,1.0,1.0,1.0,1.0,1.0,1.0,713,83,core
BE,11,1594,0.9818067754077792,0.9849435382685069,1.0,1.0,1.0,1.0,1.0,1.0,628,54,core
BG,3,1400,0.9571428571428572,0.91,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BG,4,2230,0.9659192825112107,0.9192825112107623,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BG,5,2434,0.9622021364009861,0.9260476581758422,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BG,6,2260,0.9619469026548673,0.9473451327433628,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
BG,9,2198,0.9654231119199272,0.8817106460418562,1.0,1.0,1.0,1.0,1.0,1.0,543,78,core
BG,10,2718,0.9900662251655629,0.9863870493009566,1.0,1.0,1.0,1.0,1.0,1.0,478,78,core
BG,11,2239,0.9897275569450648,0.9785618579723091,1.0,1.0,1.0,1.0,1.0,1.0,1292,29,core
CH,1,2040,0.9544117647058824,0.975,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,2,2141,0.9453526389537599,0.962634283045306,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,3,1804,0.9545454545454546,0.9783813747228381,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,4,1819,0.9318306761957119,0.9719626168224299,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,5,1506,0.950199203187251,0.9780876494023905,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,6,1493,0.941728064300067,0.9805760214333556,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,7,1532,0.9719321148825065,0.97911227154047,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,8,1525,0.9639344262295082,0.9704918032786886,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CH,9,1542,0.9422827496757458,0.9695201037613489,1.0,1.0,1.0,1.0,1.0,1.0,1542,7,core
CH,10,1523,0.9455022980958634,0.9783322390019698,1.0,1.0,1.0,1.0,1.0,1.0,1523,1,core
CH,11,1384,0.958092485549133,0.9689306358381503,1.0,1.0,1.0,1.0,1.0,1.0,1384,7,core
CY,3,995,0.9608040201005025,0.9447236180904522,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CY,4,1215,0.9604938271604938,0.9777777777777777,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CY,5,1083,0.938134810710988,0.9630655586334257,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CY,6,1116,0.956989247311828,0.9740143369175627,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CY,9,781,0.9846350832266325,0.9859154929577465,1.0,1.0,1.0,1.0,1.0,1.0,781,9,core
CY,10,875,0.9965714285714286,0.9942857142857143,1.0,1.0,1.0,1.0,1.0,1.0,655,9,core
CY,11,685,0.9868613138686131,0.9737226277372263,1.0,1.0,1.0,1.0,1.0,1.0,685,9,core
CZ,1,1360,0.9639705882352941,0.9551470588235295,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,2,3026,0.9593522802379378,0.9451421017845341,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,4,2018,0.9841427155599604,0.9762140733399405,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,5,2386,0.9798826487845766,0.9752724224643755,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,6,2009,0.9766052762568442,0.9736187157789945,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,7,2148,0.9860335195530726,0.9837057728119181,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,8,2269,0.9850154252974879,0.989863375936536,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,9,2398,0.9699749791492911,0.9891576313594662,1.0,1.0,1.0,1.0,1.0,1.0,573,57,core
CZ,10,2476,0.9761712439418416,0.9737479806138933,1.0,1.0,1.0,1.0,1.0,1.0,567,57,core
DE,1,2919,0.9815005138746146,0.9914354230900994,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,2,2870,0.9738675958188153,0.9794425087108014,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,3,2916,0.9739368998628258,0.9794238683127572,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,4,2751,0.9818247909850963,0.9876408578698656,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,5,3031,0.9785549323655559,0.9871329594193335,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,6,2958,0.9858012170385395,0.9871534820824882,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,7,3045,0.9891625615763546,0.9917898193760263,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
