outcome,layer,cntry,essround,n,gap,m2_marg,m2_sim,m2_width,pcb_sim,pcb_width,da_sim,da_width,da_width_deploy
trstprl,all,AT,2,2179,1,1.0,1.0,0.1879808071015181,1.0,0.2700473937753687,,,
trstprl,all,AT,3,2286,1,1.0,1.0,0.1879808071015181,1.0,0.2705404617297115,,,
trstprl,all,AT,7,1760,4,1.0,1.0,0.1879808071015181,1.0,0.2733150929131902,,,
trstprl,all,AT,8,1983,1,1.0,1.0,0.1879808071015181,1.0,0.28035477901130407,,,
trstprl,all,AT,9,2448,1,1.0,1.0,0.1879808071015181,1.0,0.26883630135480374,,,
trstprl,all,AT,10,1987,1,1.0,1.0,0.1879808071015181,1.0,0.25794954420033955,,,
trstprl,all,AT,11,2328,1,1.0,1.0,0.1879808071015181,1.0,0.28014046077508803,,,
trstprl,all,BE,2,1741,1,1.0,1.0,0.1879808071015181,1.0,0.2691760280078471,,,
trstprl,all,BE,3,1770,1,1.0,1.0,0.1879808071015181,1.0,0.2671281174946606,,,
trstprl,all,BE,4,1740,1,1.0,1.0,0.1879808071015181,1.0,0.2604184734116824,,,
trstprl,all,BE,5,1681,1,1.0,1.0,0.1879808071015181,1.0,0.2642330476980235,,,
trstprl,all,BE,6,1855,1,1.0,1.0,0.1879808071015181,1.0,0.2729988728875642,,,
trstprl,all,BE,7,1753,1,1.0,1.0,0.1879808071015181,1.0,0.2643186028505847,,,
trstprl,all,BE,8,1748,1,1.0,1.0,0.1879808071015181,1.0,0.27068346893279116,,,
trstprl,all,BE,9,1751,1,1.0,1.0,0.1879808071015181,1.0,0.26724222991102536,,,
trstprl,all,BE,10,1319,1,1.0,1.0,0.1879808071015181,1.0,0.2649318960275885,,,
trstprl,all,BE,11,1565,1,1.0,1.0,0.1879808071015181,1.0,0.2728413904594872,,,
trstprl,all,BG,4,2154,1,1.0,1.0,0.1872845002584513,1.0,0.2685617123085796,,,
