outcome,cntry,n_rounds,r_first,r_last,c,net,persistent,any_pair,episodic,n_spans,n_declining,n_rising,frac_declining,net_lower
trstprl,AT,8,1,11,3.171,False,False,True,True,28,1,4,0.036,-0.058
trstprl,BE,11,1,11,3.363,False,False,False,True,55,2,1,0.036,-0.0282
trstprl,BG,7,3,11,3.055,False,False,False,False,21,0,5,0.0,-0.1939
trstprl,CH,11,1,11,3.347,False,False,False,False,55,0,3,0.0,-0.1134
trstprl,CY,7,3,11,3.06,True,False,True,True,21,13,1,0.619,0.0621
trstprl,CZ,9,1,10,3.199,False,False,False,False,36,0,16,0.0,-0.3142
trstprl,DE,11,1,11,3.294,False,False,True,True,55,2,17,0.036,-0.12
trstprl,DK,8,1,9,3.148,False,False,False,False,28,3,0,0.107,-0.026
trstprl,EE,10,2,11,3.318,False,False,True,True,45,4,12,0.089,-0.1388
trstprl,ES,11,1,11,3.322,True,False,True,True,55,31,6,0.564,0.005
trstprl,FI,11,1,11,3.372,False,False,True,True,55,5,5,0.091,-0.1103
trstprl,FR,11,1,11,3.329,False,False,True,True,55,6,2,0.109,-0.0175
trstprl,GB,11,1,11,3.26,True,False,True,True,55,17,4,0.309,0.0745
trstprl,GR,6,1,11,2.961,True,False,True,True,15,8,3,0.533,0.031
trstprl,HR,5,4,11,2.837,False,False,True,True,10,2,4,0.2,-0.0584
trstprl,HU,11,1,11,3.259,True,False,True,True,55,9,19,0.164,0.0152
trstprl,IE,11,1,11,3.3,False,False,True,True,55,11,17,0.2,-0.1552
trstprl,IL,8,1,11,3.15,True,False,True,False,28,10,0,0.357,0.0192
trstprl,IS,6,2,11,2.987,False,False,True,True,15,2,5,0.133,-0.0363
trstprl,IT,6,1,11,2.929,True,False,True,True,15,5,6,0.333,0.0161
trstprl,LT,7,5,11,2.994,False,False,False,False,21,0,10,0.0,-0.3499
trstprl,LV,4,4,11,2.682,False,False,False,False,6,0,3,0.0,-0.3175
trstprl,ME,3,9,11,2.455,False,False,False,False,3,0,0,0.0,-0.1241
trstprl,NL,11,1,11,3.336,False,False,False,True,55,2,7,0.036,-0.0281
trstprl,NO,11,1,11,3.335,False,False,False,False,55,0,5,0.0,-0.1544
trstprl,PL,11,1,11,3.342,False,False,True,True,55,11,20,0.2,-0.1331
trstprl,PT,11,1,11,3.36,False,False,True,True,55,15,14,0.273,-0.0795
trstprl,RS,3,9,11,2.381,False,False,False,False,3,0,0,0.0,-0.11
trstprl,RU,5,3,8,2.775,False,False,False,True,10,1,4,0.1,-0.2256
trstprl,SE,11,1,11,3.386,False,False,True,True,55,3,2,0.055,-0.0903
trstprl,SI,11,1,11,3.318,False,False,True,True,55,21,12,0.382,-0.0831
trstprl,SK,8,2,11,3.142,False,False,True,True,28,8,4,0.286,-0.2299
trstprl,UA,6,2,11,2.925,True,False,True,True,15,7,1,0.467,0.2554
stfdem,AT,8,1,11,3.14,False,False,True,True,28,7,4,0.25,-0.0637
stfdem,BE,11,1,11,3.355,False,False,True,True,55,4,2,0.073,-0.0062
stfdem,BG,7,3,11,3.046,False,False,False,False,21,0,7,0.0,-0.199
stfdem,CH,11,1,11,3.353,False,False,False,False,55,0,5,0.0,-0.118
stfdem,CY,7,3,11,3.031,True,False,True,False,21,14,0,0.667,0.0596
stfdem,CZ,9,1,10,3.195,False,False,False,False,36,0,6,0.0,-0.2099
stfdem,DE,11,1,11,3.305,False,False,False,True,55,5,15,0.091,-0.0726
stfdem,DK,8,1,9,3.181,False,False,False,False,28,0,0,0.0,-0.0202
stfdem,EE,10,2,11,3.314,False,False,True,True,45,2,10,0.044,-0.1297
stfdem,ES,11,1,11,3.343,True,False,True,True,55,32,3,0.582,0.0498
stfdem,FI,11,1,11,3.363,False,False,True,True,55,10,4,0.182,-0.0705
stfdem,FR,11,1,11,3.346,True,False,True,True,55,12,5,0.218,0.0069
stfdem,GB,11,1,11,3.309,True,False,True,True,55,11,6,0.2,0.0421
stfdem,GR,6,1,11,2.94,False,False,True,True,15,6,4,0.4,-0.019
stfdem,HR,5,4,11,2.874,False,False,False,False,10,0,4,0.0,-0.142
stfdem,HU,11,1,11,3.277,True,False,True,True,55,12,14,0.218,0.0321
stfdem,IE,11,1,11,3.35,False,False,True,True,55,8,13,0.145,-0.1836
stfdem,IL,8,1,11,3.093,True,False,True,True,28,14,3,0.5,0.0496
stfdem,IS,6,2,11,2.953,False,False,True,True,15,1,4,0.067,-0.0795
stfdem,IT,6,1,11,2.91,False,False,True,True,15,2,6,0.133,-0.0466
stfdem,LT,7,5,11,3.024,False,False,True,True,21,1,6,0.048,-0.2779
stfdem,LV,4,4,11,2.698,False,False,True,True,6,1,3,0.167,-0.2651
stfdem,ME,3,9,11,2.466,False,False,False,False,3,0,0,0.0,-0.1879
stfdem,NL,11,1,11,3.348,False,False,False,True,55,4,4,0.073,-0.0358
stfdem,NO,11,1,11,3.343,False,False,False,False,55,0,2,0.0,-0.1129
stfdem,PL,11,1,11,3.349,False,False,True,True,55,11,21,0.2,-0.2644
stfdem,PT,11,1,11,3.376,False,False,True,True,55,7,24,0.127,-0.0884
stfdem,RS,3,9,11,2.413,False,False,False,False,3,0,0,0.0,-0.087
stfdem,RU,5,3,8,2.832,False,False,False,False,10,0,0,0.0,-0.261
stfdem,SE,11,1,11,3.352,False,False,False,True,55,4,1,0.073,-0.1092
stfdem,SI,11,1,11,3.362,False,False,True,True,55,19,14,0.345,-0.1657
stfdem,SK,8,2,11,3.14,False,False,True,True,28,4,4,0.143,-0.1904
stfdem,UA,6,2,11,2.93,True,False,True,True,15,4,1,0.267,0.0732
