outcome,cntry,net_lb_short,span_short,net_lb_long,span_long
trstprl,AL,,,,
trstprl,AT,0.0026,9-11,-0.0335,1-11
trstprl,BE,0.0039,9-11,-0.0087,1-11
trstprl,BG,-0.0489,9-11,-0.167,3-11
trstprl,CH,-0.0267,9-11,-0.0904,1-11
trstprl,CY,-0.1219,9-11,0.0917,3-11
trstprl,CZ,-0.1475,9-10,-0.2831,1-10
trstprl,DE,-0.0079,9-11,-0.0894,1-11
trstprl,DK,,,-0.0108,1-9
trstprl,EE,0.0253,9-11,-0.1113,2-11
trstprl,ES,-0.0716,9-11,0.0356,1-11
trstprl,FI,-0.0825,9-11,-0.089,1-11
trstprl,FR,-0.0602,9-11,0.0136,1-11
trstprl,GB,0.0421,9-11,0.0902,1-11
trstprl,GR,0.054,10-11,0.0463,1-11
trstprl,HR,-0.1671,9-11,-0.0364,4-11
trstprl,HU,-0.0302,9-11,0.0376,1-11
trstprl,IE,-0.0878,9-11,-0.14,1-11
trstprl,IL,-0.128,10-11,0.0543,1-11
trstprl,IS,-0.0595,9-11,-0.0074,2-11
trstprl,IT,-0.0568,9-11,0.034,1-11
trstprl,LT,-0.1422,9-11,-0.3401,5-11
trstprl,LU,,,-0.0287,1-2
trstprl,LV,-0.0157,9-11,-0.2937,4-11
trstprl,ME,-0.1032,9-11,-0.1032,9-11
trstprl,MK,,,,
trstprl,NL,0.0248,9-11,-0.0084,1-11
trstprl,NO,-0.0033,9-11,-0.1291,1-11
trstprl,PL,-0.0322,9-11,-0.1079,1-11
trstprl,PT,-0.0982,9-11,-0.0398,1-11
trstprl,RO,,,,
trstprl,RS,-0.094,9-11,-0.094,9-11
trstprl,RU,,,-0.1848,3-8
trstprl,SE,-0.0594,9-11,-0.0621,1-11
trstprl,SI,-0.1296,9-11,-0.0543,1-11
trstprl,SK,-0.1657,9-11,-0.1993,2-11
trstprl,TR,,,-0.021,2-4
trstprl,UA,,,0.2824,2-11
trstprl,XK,,,,
stfdem,AL,,,,
stfdem,AT,0.0138,9-11,-0.0397,1-11
stfdem,BE,0.0054,9-11,0.011,1-11
stfdem,BG,-0.1506,9-11,-0.1759,3-11
stfdem,CH,-0.0096,9-11,-0.1012,1-11
stfdem,CY,-0.0657,9-11,0.0798,3-11
stfdem,CZ,-0.0853,9-10,-0.1768,1-10
stfdem,DE,0.0159,9-11,-0.0434,1-11
stfdem,DK,,,-0.0037,1-9
stfdem,EE,0.023,9-11,-0.0992,2-11
stfdem,ES,-0.0312,9-11,0.0661,1-11
stfdem,FI,-0.0631,9-11,-0.0524,1-11
stfdem,FR,-0.0178,9-11,0.0287,1-11
stfdem,GB,0.0524,9-11,0.059,1-11
stfdem,GR,0.0023,10-11,-0.0085,1-11
stfdem,HR,-0.2114,9-11,-0.1233,4-11
stfdem,HU,-0.0341,9-11,0.0591,1-11
stfdem,IE,-0.0492,9-11,-0.1729,1-11
stfdem,IL,-0.0533,10-11,0.0738,1-11
stfdem,IS,-0.0212,9-11,-0.0514,2-11
stfdem,IT,-0.0202,9-11,-0.0279,1-11
stfdem,LT,-0.0613,9-11,-0.2749,5-11
stfdem,LU,,,-0.024,1-2
stfdem,LV,-0.082,9-11,-0.2447,4-11
stfdem,ME,-0.1703,9-11,-0.1703,9-11
stfdem,MK,,,,
stfdem,NL,0.0177,9-11,-0.0145,1-11
stfdem,NO,-0.0166,9-11,-0.0925,1-11
stfdem,PL,-0.0143,9-11,-0.239,1-11
stfdem,PT,0.0149,9-11,-0.0507,1-11
stfdem,RO,,,,
stfdem,RS,-0.0716,9-11,-0.0716,9-11
stfdem,RU,,,-0.2229,3-8
stfdem,SE,-0.0607,9-11,-0.0825,1-11
stfdem,SI,-0.174,9-11,-0.1359,1-11
stfdem,SK,-0.098,9-11,-0.1556,2-11
stfdem,TR,,,0.0525,2-4
stfdem,UA,,,0.1016,2-11
stfdem,XK,,,,
