outcome,cntry,confounded,any_da,net_da,persist_da
trstprl,AT,True,,True,
trstprl,BE,False,False,True,False
trstprl,BG,False,False,False,False
trstprl,CH,False,False,False,False
trstprl,CY,True,,False,
trstprl,CZ,False,False,False,False
trstprl,DE,True,,False,
trstprl,EE,False,True,True,False
trstprl,ES,True,,False,
trstprl,FI,False,False,False,False
trstprl,FR,False,True,False,False
trstprl,GB,False,True,True,False
trstprl,GR,False,True,True,True
trstprl,HR,False,False,False,False
trstprl,HU,False,False,False,False
trstprl,IE,False,False,False,False
trstprl,IL,True,,,
trstprl,IS,False,True,False,False
trstprl,IT,False,False,False,False
trstprl,LT,False,False,False,False
trstprl,LV,True,,False,
trstprl,ME,False,False,False,False
trstprl,NL,False,True,True,False
trstprl,NO,False,True,False,False
trstprl,PL,True,,False,
trstprl,PT,False,False,False,False
trstprl,RS,True,,False,
trstprl,SE,True,,False,
trstprl,SI,False,False,False,False
trstprl,SK,False,False,False,False
stfdem,AT,True,,True,
stfdem,BE,False,False,True,False
stfdem,BG,False,False,False,False
stfdem,CH,False,False,False,False
stfdem,CY,True,,False,
stfdem,CZ,False,False,False,False
stfdem,DE,True,,True,
stfdem,EE,False,True,True,False
stfdem,ES,True,,False,
stfdem,FI,False,True,False,False
stfdem,FR,False,True,False,False
stfdem,GB,False,True,True,False
stfdem,GR,False,True,True,True
stfdem,HR,False,False,False,False
stfdem,HU,False,True,False,False
stfdem,IE,False,False,False,False
stfdem,IL,True,,,
stfdem,IS,False,True,False,False
stfdem,IT,False,False,False,False
stfdem,LT,False,False,False,False
stfdem,LV,True,,False,
stfdem,ME,False,False,False,False
stfdem,NL,False,True,True,False
stfdem,NO,False,False,False,False
stfdem,PL,True,,False,
stfdem,PT,False,True,True,False
stfdem,RS,True,,False,
stfdem,SE,True,,False,
stfdem,SI,False,False,False,False
stfdem,SK,False,False,False,False
