outcome,cntry,p_net,p_any_adjacent
trstprl,AT,1.0,0.0005
trstprl,BE,1.0,0.97501
trstprl,BG,1.0,0.22789
trstprl,CH,1.0,0.96802
trstprl,CY,0.0005,0.0005
trstprl,CZ,1.0,0.67466
trstprl,DE,1.0,0.08046
trstprl,DK,1.0,0.53623
trstprl,EE,1.0,0.0005
trstprl,ES,0.04598,0.0005
trstprl,FI,1.0,0.005
trstprl,FR,0.70165,0.008
trstprl,GB,0.0005,0.02399
trstprl,GR,0.0005,0.0005
trstprl,HR,1.0,0.0005
trstprl,HU,0.008,0.0005
trstprl,IE,1.0,0.0005
trstprl,IL,0.0035,0.0005
trstprl,IS,0.94403,0.0005
trstprl,IT,0.003,0.0005
trstprl,LT,1.0,0.15292
trstprl,LV,1.0,0.75912
trstprl,ME,1.0,0.88906
trstprl,NL,1.0,0.31134
trstprl,NO,1.0,0.90805
trstprl,PL,1.0,0.0005
trstprl,PT,1.0,0.008
trstprl,RS,1.0,1.0
trstprl,RU,1.0,0.2044
trstprl,SE,1.0,0.06197
trstprl,SI,1.0,0.0005
trstprl,SK,1.0,0.0005
trstprl,UA,0.0005,0.0005
stfdem,AT,1.0,0.0005
stfdem,BE,0.31884,0.0005
stfdem,BG,1.0,0.90205
stfdem,CH,1.0,0.98201
stfdem,CY,0.0005,0.0005
stfdem,CZ,1.0,1.0
stfdem,DE,1.0,0.42879
stfdem,DK,1.0,1.0
stfdem,EE,1.0,0.0005
stfdem,ES,0.0005,0.0005
stfdem,FI,1.0,0.0055
stfdem,FR,0.01049,0.0005
stfdem,GB,0.0005,0.0005
stfdem,GR,0.999,0.0005
stfdem,HR,1.0,0.22939
stfdem,HU,0.0005,0.0005
stfdem,IE,1.0,0.0005
stfdem,IL,0.0005,0.0005
stfdem,IS,1.0,0.01149
stfdem,IT,1.0,0.0005
stfdem,LT,1.0,0.04398
stfdem,LV,1.0,0.05847
stfdem,ME,1.0,1.0
stfdem,NL,1.0,0.33333
stfdem,NO,1.0,0.998
stfdem,PL,1.0,0.0005
stfdem,PT,1.0,0.0005
stfdem,RS,1.0,1.0
stfdem,RU,1.0,1.0
stfdem,SE,1.0,0.98951
stfdem,SI,1.0,0.0005
stfdem,SK,1.0,0.03298
stfdem,UA,0.0005,0.0035
