subgroup,outcome,min_n,K,rho_hat,rho_lcb,D,delta_ucb,branch,gate_A,coverage_level,v_mean,s_mean
youth_18_24,trstprl,80,28,0.1546448493620235,0.10686251307361823,0.2776602013825289,0.03228335699037247,PCB,False,0.9,0.032269715983044706,0.20866984006367598
youth_18_24,stfdem,80,28,0.18194874893689833,0.11931273854968112,0.280742776154349,0.03257404379135511,PCB,False,0.9,0.030646721662467995,0.16843601201729938
youth_18_24,trstprl,120,24,0.1551912526567529,0.105120880443506,0.300517788611509,0.034438827466065296,PCB,False,0.9,0.03211355280882806,0.20692888457995628
youth_18_24,stfdem,120,23,0.17817578637040465,0.11549498991443671,0.31074817591829407,0.03540355298909513,PCB,False,0.9,0.028029886769983588,0.15731591447399615
youth_18_24,trstprl,200,4,0.2878455107047265,0.14565572765990337,0.8662471675076658,0.08778710789597288,PCB,False,0.9,0.025366601586746345,0.08812575024929793
youth_18_24,stfdem,200,4,0.25278105099004566,0.12351119811789804,0.8596593758037104,0.08716587913828988,PCB,False,0.9,0.023280773311637228,0.09209856996976411
youth_18_29,trstprl,80,33,0.1521046312114179,0.1103186602052787,0.2549382533355829,0.03014067728954547,PCB,False,0.9,0.03039162140751532,0.1998073376560933
youth_18_29,stfdem,80,33,0.17297106292744954,0.11969796257738764,0.2581037955925038,0.03043918792437311,PCB,False,0.9,0.028961579253016134,0.16743597896003964
youth_18_29,trstprl,120,31,0.13950405227731594,0.10114312663131121,0.26235417370391323,0.030839998580279016,PCB,False,0.9,0.028276308139043995,0.20269166147829432
youth_18_29,stfdem,120,31,0.1632243335367277,0.11198536812991854,0.26549993826240614,0.0311366441781449,PCB,False,0.9,0.02742355488780917,0.16801143734882212
youth_18_29,trstprl,200,26,0.12857491801982987,0.0913271709962922,0.2867216273626956,0.03313784946030219,PCB,False,0.9,0.026152556567196044,0.20340325290475847
youth_18_29,stfdem,200,24,0.15240625940832558,0.1011832041243054,0.3018659559073501,0.03456595964206311,PCB,False,0.9,0.023283541955591958,0.152772871967226
young_25_34,trstprl,80,33,0.14775920509831147,0.10789001598332727,0.2545810279078643,0.030106990931711604,PCB,False,0.9,0.03068930044719576,0.20769806136123062
young_25_34,stfdem,80,33,0.17298653195216238,0.12190563198821709,0.2578857805810553,0.03041862910879352,PCB,False,0.9,0.02913042473151124,0.16839706769522933
young_25_34,trstprl,120,32,0.15522058936016103,0.11505275888384692,0.2590441238192993,0.030527860876159926,PCB,False,0.9,0.030900749041842993,0.19907635429822682
young_25_34,stfdem,120,32,0.17150312896331393,0.123076054348198,0.2618993866779924,0.030797112163734684,PCB,False,0.9,0.028412298866017215,0.16566635861258755
young_25_34,trstprl,200,26,0.13062578277707138,0.09367274417874798,0.28683508701057453,0.033148548705097175,PCB,False,0.9,0.02700103300010288,0.2067052340362499
young_25_34,stfdem,200,24,0.1596260754304572,0.10776311584942969,0.30246657163528523,0.0346225977052074,PCB,False,0.9,0.02483865338355241,0.15560523753134325
mid_35_49,trstprl,80,33,0.12566166106802512,0.09343991315331975,0.2545441635365824,0.030103514621499718,PCB,False,0.9,0.024372013853249403,0.19394948026396028
mid_35_49,stfdem,80,33,0.13380639675946873,0.09798542244772439,0.25496601653363654,0.030143295359121927,PCB,False,0.9,0.022237695477132266,0.16619306711551984
mid_35_49,trstprl,120,33,0.12535535960418648,0.09296226180286819,0.25455074217304124,0.030104134986917788,PCB,False,0.9,0.02431260684353381,0.19394948026396028
mid_35_49,stfdem,120,33,0.1350661112023647,0.09856759309608906,0.25494234471596106,0.03014106310671513,PCB,False,0.9,0.02244705128408686,0.16619306711551984
mid_35_49,trstprl,200,33,0.1263499266516586,0.09402547962642227,0.25450484864716333,0.030099807227427503,PCB,False,0.9,0.024494265049480626,0.19386054031523325
mid_35_49,stfdem,200,33,0.13493064594423113,0.09858754601646769,0.25514141684593794,0.03015983560857195,PCB,False,0.9,0.022410058982579816,0.16608576076810772
older_50_64,trstprl,80,33,0.1401526576058126,0.10299432800216546,0.25523846936881156,0.03016898766147893,PCB,False,0.9,0.024661623042358954,0.17596257868845544
