subgroup,outcome,min_n,K,rho_hat,rho_lcb,D,delta_ucb,branch,gate_A,coverage_level,v_mean,s_mean
youth_18_24,trstprl,80,28,0.16432716746542608,0.11486918540595936,0.2786679626972271,0.032378388882348515,PCB,False,0.9,0.03528197050246446,0.21470564512643764
youth_18_24,stfdem,80,28,0.194717621235299,0.12930071971200036,0.2826519619690459,0.032754080013681026,PCB,False,0.9,0.03368879395804273,0.17301358626055113
youth_18_24,trstprl,120,24,0.16187831241394862,0.11196802141142083,0.3013640003160724,0.03451862522980562,PCB,False,0.9,0.03469843442723988,0.21434887669517125
youth_18_24,stfdem,120,23,0.19277900527041916,0.12546548729338627,0.3126537920984187,0.03558325259488088,PCB,False,0.9,0.03132090296889066,0.16247050826388237
youth_18_24,trstprl,200,4,0.2812859928322297,0.15130578573900857,0.8677866377337249,0.08793227993829025,PCB,False,0.9,0.029458264858904494,0.10472709487697308
youth_18_24,stfdem,200,4,0.2520747085937612,0.12396734485517207,0.854525504212178,0.08668175504720838,PCB,False,0.9,0.026748769872591383,0.10611445321830837
youth_18_29,trstprl,80,33,0.16062538285685407,0.1168640413928312,0.2558633987576575,0.030227918502847104,PCB,False,0.9,0.032847376069379174,0.20449679549496894
youth_18_29,stfdem,80,33,0.18367921319339625,0.1278031262785592,0.2594833354699143,0.030569278534812918,PCB,False,0.9,0.03140997892389426,0.17100453762736137
youth_18_29,trstprl,120,31,0.14376769267974457,0.10567395270571144,0.26276794169176576,0.03087901690153351,PCB,False,0.9,0.029879034902043623,0.20782857640069283
youth_18_29,stfdem,120,31,0.1692870900728234,0.11789747665523549,0.2662527000508216,0.031207629614792474,PCB,False,0.9,0.029121605190775432,0.17202496172772533
youth_18_29,trstprl,200,26,0.13355715714596506,0.09581427220038927,0.28715957009318,0.033179147459786874,PCB,False,0.9,0.028059201766610153,0.21009133741851183
youth_18_29,stfdem,200,24,0.15856562090470808,0.1060115274845024,0.3028551054017643,0.03465923643938637,PCB,False,0.9,0.024990828645330865,0.15760559257891976
young_25_34,trstprl,80,33,0.1574837977195205,0.11580136248766316,0.2554105815272705,0.030185217838021607,PCB,False,0.9,0.03346203714364785,0.2124792367735754
young_25_34,stfdem,80,33,0.18253734863062232,0.12970325345408482,0.258757714990943,0.030500852523645927,PCB,False,0.9,0.03142137637324048,0.1721366975523674
young_25_34,trstprl,120,32,0.16211191194588323,0.12063558911963339,0.25954540004924037,0.03057513122464337,PCB,False,0.9,0.03309230712198151,0.2041324830776686
young_25_34,stfdem,120,32,0.18133658645520764,0.13131561285628765,0.26294340469388483,0.03089556306263334,PCB,False,0.9,0.03073501029805998,0.16949150140560246
young_25_34,trstprl,200,26,0.13811623991605393,0.0996053107460597,0.28737352202043304,0.033199323126526833,PCB,False,0.9,0.029363148564209938,0.21259736423505773
young_25_34,stfdem,200,24,0.16868347276843149,0.11573233082168677,0.30373233362117835,0.03474195906047712,PCB,False,0.9,0.02702621281799221,0.160218499029207
mid_35_49,trstprl,80,33,0.13107140267010123,0.0981756757687292,0.2550305866767263,0.03014938432361529,PCB,False,0.9,0.02601882370757082,0.19850877596128746
mid_35_49,stfdem,80,33,0.13851465601445348,0.10236528021188122,0.25525086981901074,0.030170157023932713,PCB,False,0.9,0.023515159136510217,0.16976657787069477
mid_35_49,trstprl,120,33,0.13066324149175543,0.09821102062026464,0.25501544048906244,0.030147956038118588,PCB,False,0.9,0.02593780013166248,0.19850877596128746
mid_35_49,stfdem,120,33,0.13908815340298852,0.10277311857545282,0.2553376762592757,0.0301783428712497,PCB,False,0.9,0.02361251982557959,0.16976657787069477
mid_35_49,trstprl,200,33,0.13110109397295167,0.09841559122770799,0.25502308029616116,0.030148676471928,PCB,False,0.9,0.02602273241551267,0.1984936328668744
mid_35_49,stfdem,200,33,0.1385077328232399,0.10211883767303803,0.2553435240424627,0.030178894317204233,PCB,False,0.9,0.0235128460938482,0.16975836377204087
