dataset,cell,K,rho_lcb,rho_hat,activated,regime
WVS full-coverage items,imp_dem,95,0.0819450226074059,0.0971955988020066,False,unnecessary
WVS full-coverage items,rej_leader,104,0.0482902739580621,0.0567055539218177,False,unnecessary
WVS full-coverage items,rej_army,104,0.0447719506561982,0.0523521934687642,False,unnecessary
WVS full-coverage items,sup_demsys,105,0.0941449860256962,0.1243151597185168,False,unnecessary
WVS full-coverage items,confid_parl,105,0.0439429109971878,0.0517738664397114,False,unnecessary
ESS national-unit scan,youth_18_24/trstprl/80,28,0.1068625130736182,0.1546448493620235,False,unnecessary
ESS national-unit scan,youth_18_24/stfdem/80,28,0.1193127385496811,0.1819487489368983,False,unnecessary
ESS national-unit scan,youth_18_24/trstprl/120,24,0.105120880443506,0.1551912526567529,False,unnecessary
ESS national-unit scan,youth_18_24/stfdem/120,23,0.1154949899144367,0.1781757863704046,False,unnecessary
ESS national-unit scan,youth_18_24/trstprl/200,4,0.1456557276599033,0.2878455107047265,False,unnecessary
ESS national-unit scan,youth_18_24/stfdem/200,4,0.123511198117898,0.2527810509900456,False,unnecessary
ESS national-unit scan,youth_18_29/trstprl/80,33,0.1103186602052787,0.1521046312114179,False,unnecessary
ESS national-unit scan,youth_18_29/stfdem/80,33,0.1196979625773876,0.1729710629274495,False,unnecessary
ESS national-unit scan,youth_18_29/trstprl/120,31,0.1011431266313112,0.1395040522773159,False,unnecessary
ESS national-unit scan,youth_18_29/stfdem/120,31,0.1119853681299185,0.1632243335367277,False,unnecessary
ESS national-unit scan,youth_18_29/trstprl/200,26,0.0913271709962922,0.1285749180198298,False,unnecessary
ESS national-unit scan,youth_18_29/stfdem/200,24,0.1011832041243054,0.1524062594083255,False,unnecessary
ESS national-unit scan,young_25_34/trstprl/80,33,0.1078900159833272,0.1477592050983114,False,unnecessary
ESS national-unit scan,young_25_34/stfdem/80,33,0.121905631988217,0.1729865319521623,False,unnecessary
ESS national-unit scan,young_25_34/trstprl/120,32,0.1150527588838469,0.155220589360161,False,unnecessary
ESS national-unit scan,young_25_34/stfdem/120,32,0.123076054348198,0.1715031289633139,False,unnecessary
ESS national-unit scan,young_25_34/trstprl/200,26,0.0936727441787479,0.1306257827770713,False,unnecessary
ESS national-unit scan,young_25_34/stfdem/200,24,0.1077631158494296,0.1596260754304572,False,unnecessary
ESS national-unit scan,mid_35_49/trstprl/80,33,0.0934399131533197,0.1256616610680251,False,unnecessary
ESS national-unit scan,mid_35_49/stfdem/80,33,0.0979854224477243,0.1338063967594687,False,unnecessary
