outcome,target,country,rho,stable,chosen,w_T1,w_T2,w_T3,w_T4,ratio_T3_T1,ratio_T3_T2
b13,1,MÃ©xico,0.11989069512084018,True,T1,0.3273459969926572,0.3589491421229325,0.32543958117698746,0.3273459969926572,0.9941761444062732,0.9066453794881373
b13,2,Guatemala,0.11917852916863383,True,T1,0.32646234906831895,0.35798018368967255,0.32453915022839414,0.32646234906831895,0.9941089719981083,0.9065841211750763
b13,3,El Salvador,0.12311737444929509,True,T1,0.326866350096123,0.3584231884115244,0.3248714313382015,0.326866350096123,0.9938968365592394,0.9063906628864639
b13,4,Honduras,0.12233949860444665,True,T1,0.325796614282758,0.35725017650353347,0.3238087947665303,0.325796614282758,0.9938985875571361,0.9063922597203464
b13,5,Nicaragua,0.11881071276671512,True,T1,0.3276737636696483,0.35930855255899496,0.3257841485691999,0.3276737636696483,0.994233242602989,0.9066974505587626
b13,6,Costa Rica,0.11825876736451557,True,T1,0.3254788976264739,0.35690178635287,0.3236118690220919,0.3254788976264739,0.9942637491462667,0.9067252711986589
b13,7,PanamÃ¡,0.1208378855840583,True,T1,0.3254535184995167,0.3568739570348616,0.3235011074637378,0.3254535184995167,0.9940009527480901,0.9064856123198036
b13,8,Colombia,0.11732345471995556,True,T1,0.3272234854802369,0.3588148029139993,0.32537112859772954,0.3272234854802369,0.9943391689022907,0.9067940507340619
b13,9,Ecuador,0.12679071000835287,True,T1,0.3130515842398584,0.3427371580823924,0.3114532319061761,0.3130515842398584,0.9948942844753097,0.9087232725180739
b13,10,Bolivia,0.11939174175598181,True,T1,0.3277934741773689,0.35943982034428695,0.3258973680039146,0.3277934741773689,0.9942155463033155,0.9066813123035619
b13,11,PerÃº,0.11782213341882977,True,T1,0.3273637841514987,0.35896864651726024,0.3254681398305527,0.3273637841514987,0.9942093645885133,0.906675674848676
b13,12,Paraguay,0.12035337960908457,True,T1,0.32617649840079344,0.3576667359834956,0.3242253856756337,0.32617649840079344,0.9940182302074925,0.9065013686109042
b13,13,Chile,0.11739161812592479,True,T1,0.3273318934374315,0.358933676960396,0.325484604395368,0.3273318934374315,0.9943565259630999,0.9068098796181817
b13,14,Uruguay,0.12024915794763787,True,T1,0.32655536711464156,0.35808218202854397,0.32466371389940935,0.32655536711464156,0.9942072511869997,0.9066737475184656
b13,15,Brasil,0.11612882571461663,True,T1,0.3272580260079978,0.35885267810698207,0.3253935540200611,0.3272580260079978,0.9943027463354217,0.9067608349381022
b13,16,16,0.11501931875656154,True,T1,0.32719129060843966,0.3587794998349375,0.3253344882819526,0.32719129060843966,0.9943250252076264,0.9067811523000288
b13,21,RepÃºblica Dominicana,0.127956427609834,True,T1,0.31086046225158537,0.3424217174709274,0.30926840260404886,0.31086046225158537,0.9948785392777033,0.9031798709738865
b13,22,HaitÃ­,0.12027757684015936,True,T1,0.3262819862099908,0.35778240796043653,0.32430247524264944,0.3262819862099908,0.9939331282418166,0.9064237593216453
b13,23,Jamaica,0.11737072944284212,True,T1,0.32633732500807855,0.35784308936262926,0.324448485564229,0.32633732500807855,0.9942120030437744,0.9066780810050548
b13,24,24,0.11812205301423827,True,T1,0.3276803990446776,0.3593158285366954,0.3258084421551431,0.3276803990446776,0.9942872478946192,0.9067467010345458
b13,25,Trinidad y Tobago,0.11754275884510343,True,T1,0.32700212691733105,0.3585720736092679,0.3251462605013917,0.32700212691733105,0.9943246044500239,0.9067807685874056
b13,26,Belice,0.12013419978605214,True,T1,0.3280488869525055,0.3597198915758425,0.32615910137054027,0.3280488869525055,0.994239317195919,0.9067029903231627
b13,27,Surinam,0.1240516551498597,True,T1,0.3283319915215777,0.3600303280654686,0.32629251202443177,0.3283319915215777,0.9937883619330103,0.9062917387479038
b13,28,Bahamas,0.11875361571747792,True,T1,0.32724521018348607,0.3588386249972562,0.32537852325119915,0.32724521018348607,0.9942957547606571,0.9067544589261736
b13,40,Estados Unidos,0.11957509430057213,True,T1,0.3276452567287406,0.3592772934567687,0.32574688104927624,0.3276452567287406,0.9942060028629194,0.9066726091012286
b13,41,CanadÃ¡,0.11884587820518132,True,T1,0.3269780806930013,0.3585457058770404,0.3251278461239391,0.3269780806930013,0.9943414110048575,0.9067960954340321
sat,1,MÃ©xico,0.10600963604610844,True,T1,0.4332605861947493,0.47823474851847597,0.4292162080987536,0.4332605861947493,0.9906652526796478,0.8975010900575984
sat,2,Guatemala,0.10343830178066157,True,T1,0.43022396990090583,0.4748829194439971,0.42634852664786926,0.43022396990090583,0.9909920331637282,0.897797139444491
sat,3,El Salvador,0.10882786181106116,True,T1,0.42110169765559535,0.4648137192624875,0.4171255373709422,0.42110169765559535,0.9905577196511207,0.8974036696524118
sat,4,Honduras,0.10635176828823652,True,T1,0.42423334611733454,0.4682704452197268,0.4203586883357325,0.42423334611733454,0.9908666826475012,0.8976835771441594
sat,5,Nicaragua,0.10459468967755761,True,T1,0.4299937097227177,0.4746287573486707,0.42613343253518804,0.4299937097227177,0.9910224798636729,0.8978247228752363
sat,6,Costa Rica,0.10546431652203826,True,T1,0.4270054999417516,0.4713303595745458,0.42317118600540504,0.4270054999417516,0.9910204577297727,0.897822890906895
sat,7,PanamÃ¡,0.10887335799787244,True,T1,0.41941667372667374,0.46295378318574215,0.41542167730235086,0.41941667372667374,0.9904748745708514,0.8973286154909315
sat,8,Colombia,0.10516148234809329,True,T1,0.42654580156813393,0.47082294269171265,0.42264504923932833,0.42654580156813393,0.990855021161936,0.8976730123282661
sat,9,Ecuador,0.10744209744223539,True,T1,0.430936489579176,0.47566940148277376,0.4268473039033587,0.430936489579176,0.9905109319477434,0.897361281959224
sat,10,Bolivia,0.10491870184188376,True,T1,0.4286826966739092,0.47318165596054773,0.42486884617220283,0.4286826966739092,0.9911033253002803,0.8978979654435864
sat,11,PerÃº,0.10407040719293323,True,T1,0.4303792427545376,0.47505431023391526,0.4265146590848235,0.4303792427545376,0.9910205156620013,0.8978229433910598
sat,12,Paraguay,0.11048740978067718,True,T1,0.43261715449129323,0.4972180474461175,0.42338465738641423,0.43261715449129323,0.9786589666890687,0.851507019025281
sat,13,Chile,0.10480268143868218,True,T1,0.4281985956690578,0.47264730335685035,0.4243993030407459,0.4281985956690578,0.9911272650897522,0.8979196538868709
sat,14,Uruguay,0.10580958611320017,True,T1,0.42873649766780547,0.47324104171038484,0.4249136364243716,0.42873649766780547,0.9910834247510322,0.897879936382211
sat,15,Brasil,0.10513484483149133,True,T1,0.4248538758112293,0.4689553883499441,0.42095044756648947,0.4248538758112293,0.9908123040250333,0.8976343123972543
sat,16,16,0.10260616503535427,True,T1,0.4295237779153927,0.47411004476123975,0.42569389628286314,0.4295237779153927,0.9910834234809605,0.8978799352315794
sat,21,RepÃºblica Dominicana,0.10931575860290797,True,T1,0.4198636178752499,0.4634471219045336,0.41585370404549965,0.4198636178752499,0.9904494848826324,0.8973056135003082
sat,22,HaitÃ­,0.107066106281113,True,T1,0.4581895182519022,0.5057514023131229,0.45328239205510606,0.4581895182519022,0.9892901823343364,0.8962553341067515
sat,23,Jamaica,0.1025471529836897,True,T1,0.4303764235135232,0.47505119834453385,0.4265254375084349,0.4303764235135232,0.9910520516582915,0.8978515136785208
sat,24,24,0.10192378278063483,True,T1,0.4294054961114693,0.4739794848382834,0.42544752364793403,0.4294054961114693,0.9907826692965574,0.8976074645785399
sat,25,Trinidad y Tobago,0.10820114142415399,True,T1,0.42269088651056524,0.4665678722055925,0.4186792423799217,0.42269088651056524,0.9905092722396719,0.8973597783334539
sat,26,Belice,0.10449679659840619,True,T1,0.42937652787462066,0.47394750958388504,0.4255665310414745,0.42937652787462066,0.9911266765046396,0.897919120653492
sat,27,Surinam,0.11903939713229325,True,T1,0.41221482807726223,0.4737691277774753,0.40281700693249617,0.41221482807726223,0.9772016421907933,0.8502390369380407
sat,28,Bahamas,0.10744015346049933,True,T1,0.4216460042948594,0.4654145270835533,0.41778428253395256,0.4216460042948594,0.9908413177841802,0.8976605976438506
sat,40,Estados Unidos,0.10546631739996463,True,T1,0.42812074926911675,0.47256137619272526,0.42427596125914807,0.42812074926911675,0.9910193840954159,0.897821918239283
sat,41,CanadÃ¡,0.10591229674819337,True,T1,0.4274072209910827,0.4717737808575404,0.42358053831282294,0.4274072209910827,0.991046752393686,0.897846712767469
ing4,1,MÃ©xico,0.2065180197256856,True,T1,0.14737458740296233,0.17726162950667707,0.14195318717229471,0.14737458740296233,0.963213466268482,0.80081170170529
ing4,2,Guatemala,0.20808656283937313,True,T1,0.1514619302080749,0.18217787089370527,0.14564988898217754,0.1514619302080749,0.9616270490022614,0.7994927609355991
ing4,3,El Salvador,0.20350341386567822,True,T1,0.14833203336831993,0.1784132421081076,0.14304531315040447,0.14833203336831993,0.9643588771901473,0.8017639916196786
ing4,4,Honduras,0.22152049866770887,True,T1,0.13385982056628587,0.1549334078726971,0.1306950546336345,0.13385982056628587,0.9763576111243613,0.8435563151171481
ing4,5,Nicaragua,0.2014981912784168,True,T1,0.1501337000947938,0.18058028043805713,0.14469173554854997,0.1501337000947938,0.9637525449462193,0.8012598894937607
ing4,6,Costa Rica,0.1999781009782779,True,T1,0.14895263100363756,0.1791596947363589,0.1437198007393444,0.14895263100363756,0.964869165257206,0.802188243013219
ing4,7,PanamÃ¡,0.2093045818890429,True,T1,0.13892969084776155,0.16080142918677448,0.13590739523663403,0.13892969084776155,0.9782458624021604,0.8451877319994123
ing4,8,Colombia,0.20280285371946405,True,T1,0.15055689651393092,0.18108929958565634,0.14514243680668357,0.15055689651393092,0.9640371193042867,0.8014964834409242
ing4,9,Ecuador,0.20186955454324526,True,T1,0.1499774305828791,0.1803923200249876,0.14461619726166833,0.1499774305828791,0.9642530659421579,0.80167602058467
ing4,10,Bolivia,0.2021882453130854,True,T1,0.14927413742820242,0.17954640152020493,0.14400824209266397,0.14927413742820242,0.9647233243061195,0.8020669914482149
ing4,11,PerÃº,0.20313649783643825,True,T1,0.14870895177228916,0.17886659822367695,0.143367983969135,0.14870895177228916,0.9640844230323637,0.8015358115652756
ing4,12,Paraguay,0.20016033399424346,True,T1,0.14820868591298858,0.17826488022759052,0.14298972622922074,0.14820868591298858,0.964786411460177,0.8021194418478051
ing4,13,Chile,0.2009829859315595,True,T1,0.14981704745593644,0.18019941177039486,0.14455223110912868,0.14981704745593644,0.9648583626749404,0.8021792617908939
ing4,14,Uruguay,0.20192538282415634,True,T1,0.14926188925661443,0.1795316694629865,0.14404239287119247,0.14926188925661443,0.9650312855383434,0.8023230291460597
ing4,15,Brasil,0.19867726968495786,True,T1,0.15011591818154438,0.18055889241605225,0.14478719017593714,0.15011591818154438,0.9645025786062016,0.8018834643840843
ing4,16,16,0.1987607008059262,True,T1,0.1487510686807011,0.1789172562913021,0.1435491884175953,0.1487510686807011,0.9650296276239079,0.8023216507628383
ing4,21,RepÃºblica Dominicana,0.20474482362868934,True,T1,0.15053596967913455,0.18106412886320145,0.14504788456391224,0.15053596967913455,0.963543031430162,0.8010857008209484
ing4,22,HaitÃ­,0.20541052986096825,True,T1,0.14987184564007183,0.180265322831352,0.14429688045031705,0.14987184564007183,0.9628017846451062,0.8004694313021846
ing4,23,Jamaica,0.20267128243828567,True,T1,0.15044998432732884,0.1809607059879054,0.14495058834710653,0.15044998432732884,0.9634470152668314,0.8010058733789112
ing4,24,24,0.19852979624413178,True,T1,0.1491777019368112,0.1794304092541873,0.14397289466756075,0.1491777019368112,0.9651100184432717,0.8023884873583708
ing4,25,Trinidad y Tobago,0.20697139263752123,True,T1,0.15050934335269076,0.18103210281246657,0.1449174621884252,0.15050934335269076,0.9628469499653451,0.8005069815630823
ing4,26,Belice,0.20336639702388032,True,T1,0.14704950200625258,0.17687061794786582,0.14181233280020575,0.14704950200625258,0.9643849918932459,0.8017857032760873
ing4,27,Surinam,0.20428342431439775,True,T1,0.15047167510530873,0.18098679557850397,0.1448858412200488,0.15047167510530873,0.9628778380957702,0.8005326618272757
ing4,28,Bahamas,0.20151558353351515,True,T1,0.1491455517127254,0.17939173907901745,0.14393223213856685,0.1491455517127254,0.9650454236529956,0.8023347835162488
ing4,40,Estados Unidos,0.20295341521309612,True,T1,0.15024515719723966,0.18071434064441844,0.14493026184617278,0.15024515719723966,0.9646251802706055,0.8019853949020238
ing4,41,CanadÃ¡,0.2030826119691934,True,T1,0.1501209670143618,0.18056496513420603,0.14482207750765422,0.1501209670143618,0.9647025354812652,0.8020497077050042
