outcome,pais,country,y0,y1,n0,n_upm,M0,M1,M2,M3,deff_ratio,signal
b13,1,MÃ©xico,2004,2006,1556,102,0,0,0,0,1.3104882203895174,-0.0627883916700777
b13,1,MÃ©xico,2006,2008,1560,102,1,0,0,0,1.372005300219887,0.039390347233180675
b13,1,MÃ©xico,2008,2010,1560,101,0,0,0,0,1.2812236131999726,0.0035900232867644897
b13,1,MÃ©xico,2010,2012,1562,130,0,0,0,0,1.3570818464700607,0.002016264689845601
b13,1,MÃ©xico,2012,2014,1560,130,1,1,1,1,1.4205525752143964,0.10354177218171752
b13,1,MÃ©xico,2014,2016,1535,130,0,0,0,0,1.2292696569704742,0.01694781903560927
b13,1,MÃ©xico,2016,2019,1563,130,0,0,0,0,1.0704809310367325,-0.10738702207857174
b13,1,MÃ©xico,2019,2023,1580,129,0,0,0,0,1.1064764586273794,-0.013096815129829164
b13,2,Guatemala,2004,2006,1708,126,0,0,0,0,1.2516215662327375,-0.05611194719721851
b13,2,Guatemala,2006,2008,1498,109,1,0,0,0,1.6310847879176453,0.02682061637107071
b13,2,Guatemala,2008,2010,1538,100,1,0,0,0,1.5924370066736968,0.0560378831540955
b13,2,Guatemala,2010,2012,1494,108,0,0,0,0,1.3297311471754791,-0.11304500387775408
b13,2,Guatemala,2012,2014,1509,72,1,1,1,1,1.1562626119667168,0.08414321310397428
b13,2,Guatemala,2014,2017,1506,62,0,0,0,0,1.121195364366628,-0.047576368144057433
b13,2,Guatemala,2017,2019,1546,63,1,0,0,0,1.2057457896294423,0.019415901199841767
b13,2,Guatemala,2019,2023,1596,62,1,1,1,1,1.303796531558845,0.06094641074800917
b13,3,El Salvador,2004,2006,1589,65,1,0,0,0,1.1195143927233198,0.020778904769222905
b13,3,El Salvador,2006,2008,1729,66,1,1,1,1,1.1302315292079628,0.10211986321052562
b13,3,El Salvador,2008,2010,1549,66,0,0,0,0,1.1492789733849762,-0.18112368284308145
b13,3,El Salvador,2010,2012,1550,66,1,1,1,1,1.0629791814516678,0.08340543003553258
b13,3,El Salvador,2012,2014,1497,52,0,0,0,0,0.9636484596943973,-0.01820011358395492
b13,3,El Salvador,2014,2016,1512,63,1,1,1,1,1.0538479336568152,0.05093948160486252
b13,3,El Salvador,2016,2018,1551,63,1,1,1,0,1.0282234142094022,0.036111264642266265
b13,3,El Salvador,2018,2023,1511,63,0,0,0,0,1.0327294739193096,-0.19063455962964193
b13,4,Honduras,2004,2006,1500,111,0,0,0,0,1.0542503542804287,-0.04844717836803134
b13,4,Honduras,2006,2008,1585,118,1,0,0,0,1.2477470380820015,0.034136315461805816
b13,4,Honduras,2008,2010,1522,93,0,0,0,0,1.4197837107710525,-0.16066767760316147
b13,4,Honduras,2010,2012,1596,93,1,1,1,1,1.263544466494141,0.2845122925139644
b13,4,Honduras,2012,2014,1728,68,0,0,0,0,1.2357049568327343,-0.1266160158149622
b13,4,Honduras,2014,2016,1561,65,1,1,1,1,1.102650976340916,0.07349023802084584
b13,4,Honduras,2016,2018,1560,65,1,1,1,1,1.1989776022798206,0.1138804329443599
b13,4,Honduras,2018,2023,1560,65,0,0,0,0,1.1493172536358358,-0.026415279618991483
b13,5,Nicaragua,2004,2006,1430,47,0,0,0,0,1.6290781952911626,-0.04450406419931053
b13,5,Nicaragua,2006,2008,1759,78,1,0,0,0,1.3933885705399442,0.040499521383877295
b13,5,Nicaragua,2008,2010,1539,43,0,0,0,0,1.355884159000267,-0.060161893009768395
b13,5,Nicaragua,2010,2012,1540,43,0,0,0,0,1.2172496747711286,-0.09247137704003056
b13,5,Nicaragua,2012,2014,1686,50,0,0,0,0,1.0736315314831915,-0.006449509064567427
b13,5,Nicaragua,2014,2016,1546,62,0,0,0,0,1.0290554865256145,-0.056142663790031376
b13,5,Nicaragua,2016,2019,1560,62,1,1,1,1,1.1752816877545478,0.173720358386103
b13,6,Costa Rica,2004,2006,1500,30,1,0,0,0,1.0925658658998891,0.029271124355870107
b13,6,Costa Rica,2006,2008,1497,30,1,0,0,0,1.2224347524223418,0.026922681837936085
b13,6,Costa Rica,2008,2010,1499,30,0,0,0,0,1.2695194958415525,-0.013797013797013794
b13,6,Costa Rica,2010,2012,1500,30,1,1,1,1,1.189202322135046,0.12496764890745737
b13,6,Costa Rica,2012,2014,1498,30,0,0,0,0,1.1977041888639282,-0.068747624391528
b13,6,Costa Rica,2014,2023,1537,30,0,0,0,0,1.0527737079181614,-0.08248682287575101
b13,7,PanamÃ¡,2004,2006,1639,104,0,0,0,0,1.370880174357453,-0.16170678700395272
b13,7,PanamÃ¡,2006,2008,1536,76,1,0,0,0,1.6470486544270397,0.08094292713666497
b13,7,PanamÃ¡,2008,2010,1536,76,0,0,0,0,1.734502100439263,-0.09423012601959348
b13,7,PanamÃ¡,2010,2012,1536,76,1,1,1,1,1.7360646978266758,0.10561418519402392
b13,7,PanamÃ¡,2012,2014,1620,62,0,0,0,0,1.4377545580178193,-0.03274386499932119
b13,7,PanamÃ¡,2014,2023,1508,61,1,1,1,1,1.1445628564702803,0.21604480458762643
b13,8,Colombia,2004,2006,1479,61,0,0,0,0,1.1579307967967245,-0.03164812507763031
b13,8,Colombia,2006,2008,1491,60,0,0,0,0,1.1344976295584235,-0.01951071462500706
b13,8,Colombia,2008,2010,1503,61,1,0,0,0,1.3049366574655912,0.019993920195366655
b13,8,Colombia,2010,2012,1506,56,1,0,0,0,1.4252392102118105,0.02489549218521182
b13,8,Colombia,2012,2014,1512,73,1,1,1,1,1.2585564152429967,0.09697483743285269
b13,8,Colombia,2014,2018,1496,63,1,0,0,0,1.1523286587731116,0.020703287064862602
b13,8,Colombia,2018,2023,1663,63,0,0,0,0,1.1078046281833338,0.011492368309141151
b13,9,Ecuador,2004,2006,3000,103,1,1,1,1,1.3108007428461323,0.143282695977959
b13,9,Ecuador,2006,2008,2925,103,0,0,0,0,1.5996761825566674,-0.08551661031290236
b13,9,Ecuador,2008,2010,3000,86,0,0,0,0,1.5862936414027182,-0.29679723294051213
b13,9,Ecuador,2010,2012,2999,78,0,0,0,0,1.483755413445688,-0.010821280139231865
b13,9,Ecuador,2012,2016,1500,79,0,0,0,0,1.3224439140387347,-0.05351015863466985
b13,9,Ecuador,2016,2023,1545,81,1,1,1,1,1.09481954415582,0.1944412032763069
b13,10,Bolivia,2004,2006,3072,152,0,0,0,0,1.3978898903784198,-0.09872769682723302
b13,10,Bolivia,2006,2008,3008,115,0,0,0,0,1.2565106530056738,-0.025575809316710895
b13,11,PerÃº,2006,2008,1500,126,0,0,0,0,1.2021038029770204,-0.005626828719333806
b13,11,PerÃº,2008,2010,1500,128,0,0,0,0,1.3971346033916299,0.01567674808714457
b13,11,PerÃº,2010,2012,1500,128,0,0,0,0,1.5670682530567468,-0.10483646846579209
b13,11,PerÃº,2012,2014,1500,110,1,1,1,1,1.4588699902686657,0.18143971137572157
b13,11,PerÃº,2014,2017,1500,125,0,0,0,0,1.2066537830414272,-0.04507191588862384
b13,11,PerÃº,2017,2019,2647,171,1,1,1,1,1.11010222908962,0.15180591136784768
b13,11,PerÃº,2019,2023,1521,125,1,0,0,0,1.0208728706651509,0.04333393286800774
b13,12,Paraguay,2006,2008,1165,120,1,0,0,0,1.2085981858236623,0.030144439246035454
b13,12,Paraguay,2008,2010,1166,121,0,0,0,0,1.1837680066872722,-0.16125755055716656
b13,12,Paraguay,2010,2012,1501,96,0,0,0,0,1.128181947780296,-0.036526751266675934
b13,12,Paraguay,2012,2014,1510,57,1,1,1,1,1.1388609939994647,0.1132680853021089
b13,12,Paraguay,2014,2016,1503,63,0,0,0,0,1.191987072601431,-0.10202045769247951
b13,12,Paraguay,2016,2019,1528,57,0,0,0,0,1.0858321489378626,-0.029200654079440207
b13,12,Paraguay,2019,2023,1515,63,1,1,1,1,1.095104678111865,0.04728600185787782
b13,13,Chile,2006,2008,1517,78,0,0,0,0,1.4714574568592775,0.0023966361380510968
b13,14,Uruguay,2007,2008,1200,59,1,1,1,1,1.1046606294916412,0.06500040341200726
b13,14,Uruguay,2008,2010,1500,59,0,0,0,0,1.0682731110303088,-0.09789192329881424
b13,14,Uruguay,2010,2012,1500,59,1,1,1,1,1.1076301505018722,0.08228212675329293
b13,14,Uruguay,2012,2014,1512,61,1,0,0,0,1.0919669662173463,0.03548017818480453
b13,15,Brasil,2007,2008,1214,122,1,0,0,0,1.4234854173352645,0.03667621153194575
b13,15,Brasil,2008,2010,1497,122,0,0,0,0,1.5357465890796274,-0.06658859720997325
b13,15,Brasil,2010,2012,2482,54,1,0,0,0,1.6304834349546682,0.0352197865483695
b13,15,Brasil,2012,2014,1499,124,1,1,1,1,1.4946009346160505,0.1315632772210118
b13,16,16,2007,2008,1510,60,1,0,1,0,1.7487259109510582,0.04911186344289534
b13,21,RepÃºblica Dominicana,2004,2006,4460,119,0,0,0,0,1.2448651525084695,-0.3014393855725077
b13,21,RepÃºblica Dominicana,2006,2008,1516,54,0,0,0,0,1.385338452616383,0.004652362368446304
b13,21,RepÃºblica Dominicana,2008,2010,1507,57,1,0,0,0,1.1755881987104355,0.009312489835745655
b13,21,RepÃºblica Dominicana,2010,2012,1498,60,1,1,1,1,1.1022256098054466,0.07040090364285016
b13,21,RepÃºblica Dominicana,2012,2014,1512,55,1,0,0,0,1.0666649376096562,0.013651285778466785
b13,21,RepÃºblica Dominicana,2014,2016,1520,63,0,0,0,0,1.0285541385599966,-0.023903566114798925
b13,21,RepÃºblica Dominicana,2016,2019,1518,63,1,1,1,1,1.0099538661444067,0.05151696923940463
