year,cells,core,extended,with_upm,med_npsu,med_nstrata,med_wtcv
2004,11,11,0,11,103.0,4.0,0.0
2006,19,19,0,19,102.0,4.0,0.0
2007,3,3,0,3,60.0,5.0,0.0
2008,23,23,0,23,76.0,5.0,0.0
2009,1,1,0,1,89.0,7.0,0.49037265479960807
2010,20,20,0,20,77.0,5.0,0.0
2012,18,18,0,18,62.5,5.0,0.0
2014,20,20,0,20,63.0,5.0,0.0
2016,7,7,0,7,63.0,5.0,0.0
2017,4,4,0,4,75.5,4.5,0.16426645195186154
2018,3,3,0,3,63.0,6.0,0.0
2019,7,7,0,7,63.0,4.0,0.0
2021,13,0,0,13,3004.0,1.0,0.6932309095368128
2023,19,17,0,19,64.0,4.0,0.0
