outcome,f,rep,target,rho,branch,stable,w_adaptive,w_cons,cov_adaptive,cov_T1,cov_T2,cov_T3
b13,1.0,0,1,0.11627613508994916,T1,True,0.32740998033720575,0.35819245206260697,1,1,1,1
b13,1.0,0,2,0.1154632801712002,T1,True,0.32652861977510966,0.3572282276349847,1,1,1,1
b13,1.0,0,3,0.1193227037609703,T1,True,0.3269291387547622,0.3576664026572354,1,1,1,1
b13,1.0,0,4,0.11866330581843014,T1,True,0.32586256524354995,0.3564995519067095,1,1,1,1
b13,1.0,0,5,0.11518179141885529,T1,True,0.3277384507554404,0.35855180465294745,1,1,1,1
b13,1.0,0,6,0.11497373461852228,T1,True,0.3255496962309016,0.3561572675368209,1,1,1,1
b13,1.0,0,7,0.11737632076440203,T1,True,0.325531645553955,0.35613751976911323,1,1,1,1
b13,1.0,0,8,0.11362976932280291,T1,True,0.3272897934431368,0.3580609654223769,1,1,1,1
b13,1.0,0,9,0.12357556217592557,T1,True,0.31304111462525197,0.3421426698154794,0,0,0,0
b13,1.0,0,10,0.11556782693764947,T1,True,0.3278562543411085,0.3586806839105949,1,1,1,1
b13,1.0,0,11,0.11388692711650272,T1,True,0.32742883163184994,0.3582130757205853,1,1,1,1
b13,1.0,0,12,0.11637553047614013,T1,True,0.32624212398988994,0.3569147960538589,1,1,1,1
b13,1.0,0,13,0.11375385319756517,T1,True,0.3273976135323314,0.3581789225539537,1,1,1,1
b13,1.0,0,14,0.11660866275971575,T1,True,0.32662297921010075,0.35733145856691867,1,1,1,1
b13,1.0,0,15,0.11256753520586868,T1,True,0.32732421333762657,0.3580986214107323,1,1,1,1
b13,1.0,0,16,0.1118498226576851,T1,True,0.32725718892022104,0.358025295483423,1,1,1,1
b13,1.0,0,21,0.12399177052281071,T1,True,0.31079811235626253,0.3424418259915959,0,0,1,0
b13,1.0,0,22,0.11633338281987395,T1,True,0.3263473981587716,0.3570299679024743,1,1,1,1
b13,1.0,0,23,0.11379895754529482,T1,True,0.3264042570165051,0.3570921725232744,1,1,1,1
b13,1.0,0,24,0.1144368393129233,T1,True,0.32774521943108986,0.3585592097067751,1,1,1,1
b13,1.0,0,25,0.11371751738355879,T1,True,0.32706881353965306,0.3578192094031991,1,1,1,1
b13,1.0,0,26,0.116526180555492,T1,True,0.3281032660652321,0.35895091921332123,1,1,1,1
b13,1.0,0,27,0.12018109173843607,T1,True,0.3283904765247288,0.3592651326610579,1,1,1,1
b13,1.0,0,28,0.11510582007314892,T1,True,0.3273111563240955,0.35808433680130014,1,1,1,1
b13,1.0,0,40,0.11555685472491406,T1,True,0.3277094653934698,0.3585200941416568,1,1,1,1
b13,1.0,0,41,0.11498086989878727,T1,True,0.3270444655852833,0.35779257229986633,1,1,1,1
b13,1.0,1,1,0.11609877758919641,T1,True,0.32740998033720575,0.3588077125326903,1,1,1,1
b13,1.0,1,2,0.11565354458170678,T1,True,0.32652861977510966,0.3578418318748175,1,1,1,1
b13,1.0,1,3,0.11919718568606609,T1,True,0.3269291387547622,0.3582807595421019,1,1,1,1
b13,1.0,1,4,0.11883322302298409,T1,True,0.32586256524354995,0.3571119045138835,1,1,1,1
b13,1.0,1,5,0.11553160400543298,T1,True,0.3277384507554404,0.35916768237624863,1,1,1,1
b13,1.0,1,6,0.11479087773354897,T1,True,0.3255496962309016,0.35676903220853984,1,1,1,1
b13,1.0,1,7,0.11712779324273713,T1,True,0.325531645553955,0.35674925052046125,1,1,1,1
b13,1.0,1,8,0.113823508453857,T1,True,0.3272897934431368,0.35867600004031946,1,1,1,1
b13,1.0,1,9,0.12296811277535263,T1,True,0.31304111462525197,0.3415519723556273,0,0,0,0
b13,1.0,1,10,0.11562428821412124,T1,True,0.3278562543411085,0.3592967830073845,1,1,1,1
b13,1.0,1,11,0.11403180986156505,T1,True,0.32742883163184994,0.3588283716155398,1,1,1,1
b13,1.0,1,12,0.1168583601409827,T1,True,0.32624212398988994,0.3575278619181317,1,1,1,1
b13,1.0,1,13,0.11394978591242848,T1,True,0.3273976135323314,0.35879415978465323,1,1,1,1
b13,1.0,1,14,0.11658042728792761,T1,True,0.32662297921010075,0.3579452401245909,1,1,1,1
b13,1.0,1,15,0.11226298616743534,T1,True,0.32732421333762657,0.35871372070966123,1,1,1,1
b13,1.0,1,16,0.11190105807297823,T1,True,0.32725718892022104,0.35864026883177913,1,1,1,1
b13,1.0,1,21,0.12398712996693004,T1,True,0.31079811235626253,0.34154983714005377,0,0,1,0
b13,1.0,1,22,0.11672541997390422,T1,True,0.3263473981587716,0.3576432315952758,1,1,1,1
b13,1.0,1,23,0.11400037646218111,T1,True,0.3264042570165051,0.3577055430637885,1,1,1,1
b13,1.0,1,24,0.11453616083364752,T1,True,0.32774521943108986,0.3591751001495985,1,1,1,1
b13,1.0,1,25,0.11367751774097609,T1,True,0.32706881353965306,0.3584338287613529,1,1,1,1
b13,1.0,1,26,0.11653357873134798,T1,True,0.3281032660652321,0.35956748248823195,1,1,1,1
b13,1.0,1,27,0.12031859910371444,T1,True,0.3283904765247288,0.3598822356545262,1,1,1,1
b13,1.0,1,28,0.11484082165149831,T1,True,0.3273111563240955,0.35869941156382285,1,1,1,1
b13,1.0,1,40,0.1157359886555459,T1,True,0.3277094653934698,0.3591359173964063,1,1,1,1
b13,1.0,1,41,0.1153144193899524,T1,True,0.3270444655852833,0.3584071459039663,1,1,1,1
b13,1.0,2,1,0.11726602654033655,T1,True,0.32740998033720575,0.35863952069179844,1,1,1,1
b13,1.0,2,2,0.11684201074577616,T1,True,0.32652861977510966,0.3576740927924374,1,1,1,1
b13,1.0,2,3,0.12045368127910255,T1,True,0.3269291387547622,0.35811281471149015,1,1,1,1
b13,1.0,2,4,0.11987465089439873,T1,True,0.32586256524354995,0.35795628729641926,1,1,1,1
b13,1.0,2,5,0.11652915700298999,T1,True,0.3277384507554404,0.3589993217987647,1,1,1,1
b13,1.0,2,6,0.11575493305601271,T1,True,0.3255496962309016,0.356601796003173,1,1,1,1
b13,1.0,2,7,0.11827399422873719,T1,True,0.325531645553955,0.3565820235878006,1,1,1,1
b13,1.0,2,8,0.11475613759715023,T1,True,0.3272897934431368,0.35850786993992484,1,1,1,1
b13,1.0,2,9,0.12405831758025185,T1,True,0.31304111462525197,0.3420173541077745,0,0,0,0
b13,1.0,2,10,0.11677639660024296,T1,True,0.3278562543411085,0.35912836191371855,1,1,1,1
b13,1.0,2,11,0.11510334445061621,T1,True,0.32742883163184994,0.3586601700906612,1,1,1,1
b13,1.0,2,12,0.11776094026418793,T1,True,0.32624212398988994,0.35736027000980386,1,1,1,1
b13,1.0,2,13,0.11502436899203373,T1,True,0.3273976135323314,0.3586259742966395,1,1,1,1
b13,1.0,2,14,0.11756767288828236,T1,True,0.32662297921010075,0.35777745256938465,1,1,1,1
b13,1.0,2,15,0.11371622245949449,T1,True,0.32732421333762657,0.3585455729276265,1,1,1,1
b13,1.0,2,16,0.11218498981850528,T1,True,0.32725718892022104,0.35847215548046074,1,1,1,1
b13,1.0,2,21,0.12500650989643086,T1,True,0.31079811235626253,0.3406698717169651,0,0,1,0
b13,1.0,2,22,0.11765060295881918,T1,True,0.3263473981587716,0.3574755856071783,1,1,1,1
b13,1.0,2,23,0.11459870917344762,T1,True,0.3264042570165051,0.3575378678670642,1,1,1,1
b13,1.0,2,24,0.11564966380728822,T1,True,0.32774521943108986,0.3590067360950183,1,1,1,1
b13,1.0,2,25,0.11498565379288489,T1,True,0.32706881353965306,0.358265812179235,1,1,1,1
b13,1.0,2,26,0.11759707902985168,T1,True,0.3281032660652321,0.3593989345036369,1,1,1,1
b13,1.0,2,27,0.12140597095907868,T1,True,0.3283904765247288,0.35971354012874796,1,1,1,1
b13,1.0,2,28,0.11589486820611615,T1,True,0.3273111563240955,0.3585312704892292,1,1,1,1
