outcome,target,country,rho,stable,w_T1,w_T2,w_T3,chosen,w_T4,ratio_T3_T1,ratio_T3_T2
b13,1,MÃ©xico,0.07273793419354023,True,0.37184716350660996,0.3992049554461817,0.37060279336734087,T1,0.37184716350660996,0.996653544086408,0.9283521867936914
b13,2,Guatemala,0.07144770252089477,True,0.37355805920091417,0.40104172631993784,0.37234554509148615,T1,0.37355805920091417,0.9967541481717146,0.9284458964113903
b13,3,El Salvador,0.07303374640617773,True,0.37233847337645865,0.39973241229929746,0.3711059653413749,T1,0.37233847337645865,0.9966898182078606,0.9283859750244905
b13,4,Honduras,0.07372375963149107,True,0.3721303959848591,0.39950902609659106,0.37087399118430436,T1,0.3721303959848591,0.9966237512062684,0.9283244356402514
b13,5,Nicaragua,0.07024774397896032,True,0.37270665619716864,0.4001276833164313,0.37145740608746136,T1,0.37270665619716864,0.9966481679655155,0.928347179102085
b13,6,Costa Rica,0.0721076638808281,True,0.3729796236680087,0.40042073373533815,0.37176195972676107,T1,0.3729796236680087,0.9967353070677891,0.9284283465013593
b13,7,PanamÃ¡,0.07261558610861368,True,0.3752116783454125,0.40281700665468395,0.37391317704288674,T1,0.3752116783454125,0.9965392833499963,0.9282457564246409
b13,8,Colombia,0.07215204288344561,True,0.3747112275029172,0.40227973630307673,0.3734828112355862,T1,0.3747112275029172,0.9967216987985196,0.9284156708162029
b13,9,Ecuador,0.07691719360204052,True,0.2680975371898821,0.2971449955370212,0.2676529876183988,T1,0.2680975371898821,0.9983418364221359,0.9007487645372511
b13,10,Bolivia,0.07197359614360278,True,0.3741024521259668,0.4016261716908301,0.37288268406347047,T1,0.3741024521259668,0.9967394812421982,0.9284322346167067
b13,11,PerÃº,0.07614755391699835,True,0.2695371064040522,0.2976595521551815,0.26909645430514795,T1,0.2695371064040522,0.9983651523725876,0.9040410507802469
b13,12,Paraguay,0.07322065662632174,True,0.37188570013129646,0.39924632731357995,0.3705761877006619,T1,0.37188570013129646,0.9964787233545893,0.9281893466476407
b13,13,Chile,0.07144154827546563,True,0.3730735713124687,0.4005215933596722,0.37183561050209435,T1,0.3730735713124687,0.9966817247171403,0.9283784361862918
b13,14,Uruguay,0.07419554298276222,True,0.37040756909968564,0.39765944622229166,0.3691474815030701,T1,0.37040756909968564,0.996598105163784,0.9283005471388114
b13,15,Brasil,0.07179122205333327,True,0.37234370470336703,0.3997380285089404,0.37107255528068156,T1,0.37234370470336703,0.9965860859022764,0.9282893515656149
b13,16,16,0.07102412906199294,True,0.37295084541339096,0.40038983818743584,0.3717428532739801,T1,0.37295084541339096,0.9967609883332698,0.928452267811939
b13,17,Argentina,0.0693210930762449,True,0.37275140025881726,0.4001757193185578,0.3715420927340272,T1,0.37275140025881726,0.9967557264065263,0.9284473664886777
b13,21,RepÃºblica Dominicana,0.07377289365976776,True,0.3737214882423003,0.4012171792736996,0.3724496160353495,T1,0.3737214882423003,0.9965967378195653,0.9282992734996384
b13,22,HaitÃ­,0.07319134020430472,True,0.3747586997170873,0.40233070117521397,0.3734569409295662,T1,0.3747586997170873,0.9965264080900489,0.9282337635151703
b13,23,Jamaica,0.07198570675074732,True,0.3744901200014496,0.40204236133041377,0.3732337478133495,T1,0.3744901200014496,0.9966451125917681,0.9283443331152156
b13,24,24,0.07275162712323482,True,0.37159263241738766,0.3989316978228763,0.3703521026736038,T1,0.37159263241738766,0.9966615868142659,0.9283596783478416
b13,25,Trinidad y Tobago,0.07205517026968984,True,0.37245772063317817,0.39986043289613854,0.3712245573923344,T1,0.37245772063317817,0.9966891188649617,0.9283853236080446
b13,26,Belice,0.07429477898292196,True,0.37081327582659385,0.3980950018799234,0.3695507368303673,T1,0.37081327582659385,0.9965952163028355,0.9282978562535035
b13,27,Surinam,0.07285325204268489,True,0.3726407969459978,0.40005697862372513,0.3713807959556123,T1,0.3726407969459978,0.9966187250544978,0.9283197539341407
b13,28,Bahamas,0.07205199744236693,True,0.37320265442238676,0.40066017345978033,0.3719815388359433,T1,0.37320265442238676,0.9967280093751386,0.9284215489246378
b13,30,Grenada,0.07185886638880552,True,0.37239519809983934,0.3997933104125339,0.3711843886148838,T1,0.37239519809983934,0.9967485899626694,0.9284407191102585
b13,40,Estados Unidos,0.07226677640505978,True,0.37530646235754606,0.4029187641805017,0.3740689948803702,T1,0.37530646235754606,0.9967027813232885,0.9283980497686446
b13,41,CanadÃ¡,0.07327854501705117,True,0.37202110022562956,0.3993916891555688,0.3707694112996038,T1,0.37202110022562956,0.9966354356640883,0.9283353193540885
sat,1,MÃ©xico,0.06911783386625282,True,0.41631898765132713,0.4576900700977458,0.41259796201985977,T1,0.41631898765132713,0.9910620804194888,0.901478946073145
sat,2,Guatemala,0.06765883181916706,True,0.41614706872808543,0.457501066986277,0.4125367343030959,T1,0.41614706872808543,0.9913243785760063,0.9017175348259245
sat,3,El Salvador,0.06978538309621564,True,0.41396470115460443,0.4551018298692755,0.4103281791463653,T1,0.41396470115460443,0.9912153814127235,0.901618390029829
sat,4,Honduras,0.06904051085369933,True,0.4182767866555564,0.45984242247671875,0.41461928986103436,T1,0.4182767866555564,0.991255797808512,0.90165515314548
sat,5,Nicaragua,0.0682891727976342,True,0.4181228574556684,0.45967319679070273,0.41448920026505676,T1,0.4181228574556684,0.9913095944748801,0.9017040870751073
sat,6,Costa Rica,0.06976182964399615,True,0.414148644552431,0.45530405236967164,0.410491153439196,T1,0.414148644552431,0.9911686512527703,0.9015758838577368
sat,7,PanamÃ¡,0.06966541772011467,True,0.41422544706315595,0.4553884870160848,0.41056218469394995,T1,0.41422544706315595,0.9911563560491553,0.9015647000303907
sat,8,Colombia,0.06911455834413312,True,0.4140615277857181,0.45520827850336676,0.4104344599428209,T1,0.4140615277857181,0.9912402684154364,0.9016410274704292
sat,9,Ecuador,0.06911301412214038,True,0.412174529544591,0.4531337626084081,0.40856934905134473,T1,0.412174529544591,0.9912532671603226,0.9016528512452177
sat,10,Bolivia,0.06835941936103998,True,0.4184250994231145,0.4600054736057653,0.4147953343473,T1,0.4184250994231145,0.9913251736551681,0.9017182580370524
sat,11,PerÃº,0.06990194881981343,True,0.40943843698617755,0.4501257749066726,0.4058378963631481,T1,0.40943843698617755,0.9912061489645854,0.9016099921123002
sat,12,Paraguay,0.0707574755355295,True,0.3649640613909837,0.3980253772256411,0.362805606042791,T1,0.3649640613909837,0.994085841384036,0.9115137546546839
sat,13,Chile,0.06824827108040069,True,0.4184996787029878,0.46008746409105555,0.41487333919476266,T1,0.4184996787029878,0.9913349049168595,0.9017271096798573
sat,14,Uruguay,0.0715078416112517,True,0.4078574252897347,0.4483876525158285,0.40421237285743017,T1,0.4078574252897347,0.9910629249186401,0.9014797142371379
sat,15,Brasil,0.0674148216697562,True,0.41813758612573815,0.4596893891005339,0.41451224688872557,T1,0.41813758612573815,0.9913297934524298,0.9017224602460246
sat,16,16,0.06664016488946568,True,0.41587924372644597,0.4572066272719949,0.4123050039041805,T1,0.41587924372644597,0.9914055825670961,0.9017913987036278
sat,17,Argentina,0.06682153057249487,True,0.4187086134327238,0.4603171613999345,0.4151087893730998,T1,0.4187086134327238,0.9914025555144153,0.9017886452693937
sat,21,RepÃºblica Dominicana,0.06990670159480011,True,0.40895455713461343,0.4495938102119304,0.40536461925512374,T1,0.40895455713461343,0.9912216704353584,0.9016241105811537
sat,22,HaitÃ­,0.07443715544306155,True,0.40702326482949636,0.4438946341892462,0.4040884427872168,T1,0.40702326482949636,0.992789547193306,0.910325134984491
sat,23,Jamaica,0.06886988880984127,True,0.4131502912331567,0.4542064891687742,0.4095479598546542,T1,0.4131502912331567,0.9912808209144658,0.9016779143868071
sat,24,24,0.06637572054898114,True,0.4156925815931551,0.45700141586582654,0.4120441743595454,T1,0.4156925815931551,0.9912233044438102,0.9016255968898783
sat,25,Trinidad y Tobago,0.06949286844284319,True,0.4138998538528526,0.4550305384630106,0.4102453587499141,T1,0.4138998538528526,0.9911705813159389,0.901577639460484
sat,26,Belice,0.06806893313324579,True,0.4188945540547277,0.46052157959570084,0.4152340038779088,T1,0.4188945540547277,0.9912614042331507,0.9016602527995524
sat,27,Surinam,0.07158844119377279,True,0.4198333252091452,0.4615536397424049,0.4157608375164415,T1,0.4198333252091452,0.9902997512389591,0.9007855246217524
sat,28,Bahamas,0.06940652800836107,True,0.4140383545220208,0.45518280243093046,0.4104100842879973,T1,0.4140383545220208,0.9912368740857062,0.9016379399577009
sat,30,Grenada,0.06834312341563016,True,0.41821562731263484,0.4597751855147276,0.41460079996771004,T1,0.41821562731263484,0.9913565464586942,0.9017467950201707
sat,40,Estados Unidos,0.06934226946839775,True,0.4126827384874137,0.45369247406179886,0.40905667405107665,T1,0.4126827384874137,0.9912134332305066,0.901616617945833
sat,41,CanadÃ¡,0.07090469293876818,True,0.40752960858902526,0.4480272595162842,0.40389726234772294,T1,0.40752960858902526,0.9910869145094059,0.9015015353837922
ing4,1,MÃ©xico,0.13116378386306562,True,0.11372750003474573,0.13801198914984691,0.11175282248644236,T1,0.11372750003474573,0.9826367628963965,0.8097327136203103
ing4,2,Guatemala,0.13093115130013236,True,0.11192713332594803,0.13582718608458635,0.10997454552598396,T1,0.11192713332594803,0.9825548306121819,0.8096651980811657
ing4,3,El Salvador,0.13248596505130122,True,0.1140280558947052,0.13837672337921955,0.1120792017443574,T1,0.1140280558947052,0.982908994325507,0.8099570434053844
ing4,4,Honduras,0.1401367735837302,True,0.10858448627461016,0.1372766745143484,0.106271715012299,T1,0.10858448627461016,0.9787007210545513,0.7741425510798725
