design,delta,pair_rate,net_rate,persist_rate
power,0.0,0.005,0.007,0.001
power,0.01,0.036,0.121,0.005
power,0.02,0.131,0.464,0.017
power,0.03,0.316,0.752,0.087
power,0.04,0.52,0.886,0.223
power,0.06,0.815,0.967,0.609
power,0.08,0.939,0.99,0.849
power,0.1,0.981,0.998,0.946
power,0.12,0.995,0.999,0.981
detection,0.0,0.211,0.2,0.033
detection,0.01,0.298,0.3,0.067
detection,0.02,0.368,0.4,0.1
detection,0.03,0.421,0.533,0.133
detection,0.04,0.456,0.6,0.167
detection,0.06,0.561,0.767,0.167
detection,0.08,0.649,0.867,0.333
detection,0.1,0.737,0.933,0.433
detection,0.12,0.754,0.933,0.533
