min_n,essround,scheme,K,n_countries,between_country_var_share,n_eval,branch,nominal,cov_selected,cov_pcb_anchor
100,9,LOCO,171,27,0.3965,171,PCB,0.879,0.9415,0.9006
100,9,LORO,171,27,0.3965,171,PCB,0.8792,0.9298,0.9006
100,10,LOCO,186,28,0.4231,186,conservative,0.8795,0.9731,0.9032
100,10,LORO,186,28,0.4231,186,conservative,0.8798,0.9677,0.9032
100,11,LOCO,162,27,0.4888,162,PCB,0.8798,0.9136,0.9012
100,11,LORO,162,27,0.4888,162,PCB,0.8801,0.9198,0.8951
80,9,LOCO,196,27,0.4183,196,conservative,0.8791,0.9796,0.9031
80,9,LORO,196,27,0.4183,196,conservative,0.8793,0.9796,0.9031
80,10,LOCO,211,28,0.396,211,conservative,0.8799,0.9716,0.9005
80,10,LORO,211,28,0.396,211,conservative,0.8803,0.9716,0.8957
80,11,LOCO,196,27,0.4912,196,PCB,0.8808,0.9337,0.8929
80,11,LORO,196,27,0.4912,196,PCB,0.8811,0.9184,0.9082
60,9,LOCO,228,27,0.3914,228,deconvolution,0.8803,0.9781,0.9035
60,9,LORO,228,27,0.3914,228,deconvolution,0.8805,0.9342,0.9035
60,10,LOCO,248,28,0.3563,248,deconvolution,0.8806,0.9677,0.8952
60,10,LORO,248,28,0.3563,248,deconvolution,0.8808,0.9718,0.9032
60,11,LOCO,233,27,0.4147,233,PCB,0.8818,0.9099,0.897
60,11,LORO,233,27,0.4147,233,PCB,0.882,0.9142,0.9013
40,9,LOCO,273,27,0.3783,273,deconvolution,0.8818,0.9377,0.8938
40,9,LORO,273,27,0.3783,273,deconvolution,0.8821,0.9597,0.9011
40,10,LOCO,287,28,0.3191,287,deconvolution,0.8812,0.9408,0.8955
40,10,LORO,287,28,0.3191,287,deconvolution,0.8815,0.9547,0.9024
40,11,LOCO,285,27,0.3914,285,PCB,0.8826,0.9193,0.8982
40,11,LORO,285,27,0.3914,285,PCB,0.8829,0.9123,0.9018
