min_n,essround,cntry,n_regions,K_train,branch,cov_selected,cov_pcb_anchor
100,9,AT,8,163,PCB,0.875,0.875
100,9,BE,8,163,PCB,1.0,1.0
100,9,BG,4,167,PCB,1.0,1.0
100,9,CH,6,165,PCB,1.0,1.0
100,9,CZ,13,158,conservative,0.9231,0.6923
100,9,DE,7,164,PCB,1.0,1.0
100,9,DK,5,166,PCB,1.0,1.0
100,9,EE,5,166,PCB,1.0,1.0
100,9,ES,5,166,PCB,0.8,0.8
100,9,FI,4,167,PCB,1.0,1.0
100,9,FR,7,164,PCB,1.0,1.0
100,9,GB,10,161,PCB,1.0,1.0
100,9,HR,7,164,PCB,1.0,0.8571
100,9,HU,6,165,conservative,0.6667,0.5
100,9,IE,8,163,PCB,1.0,1.0
100,9,IS,2,169,PCB,1.0,1.0
100,9,IT,5,166,PCB,1.0,1.0
100,9,LT,9,162,conservative,0.8889,0.8889
100,9,LV,6,165,PCB,0.6667,0.6667
100,9,NL,7,164,PCB,1.0,1.0
100,9,NO,6,165,PCB,1.0,1.0
100,9,PL,7,164,PCB,0.8571,0.5714
100,9,PT,4,167,PCB,1.0,1.0
100,9,RS,4,167,PCB,1.0,1.0
100,9,SE,7,164,PCB,1.0,1.0
100,9,SI,5,166,PCB,1.0,1.0
100,9,SK,6,165,PCB,0.8333,0.8333
100,10,AT,7,179,conservative,1.0,1.0
100,10,BE,5,181,conservative,1.0,1.0
100,10,BG,9,177,conservative,0.7778,0.5556
100,10,CH,6,180,conservative,1.0,1.0
100,10,CZ,13,173,conservative,1.0,0.9231
100,10,DE,13,173,conservative,1.0,0.9231
100,10,EE,5,181,conservative,1.0,1.0
100,10,ES,7,179,conservative,1.0,1.0
100,10,FI,4,182,conservative,1.0,1.0
100,10,FR,8,178,conservative,1.0,1.0
100,10,GB,6,180,conservative,1.0,1.0
100,10,GR,8,178,conservative,0.625,0.5
100,10,HR,5,181,conservative,1.0,1.0
100,10,HU,5,181,conservative,1.0,0.8
100,10,IE,8,178,conservative,1.0,0.875
100,10,IS,2,184,conservative,1.0,1.0
100,10,IT,5,181,conservative,1.0,0.8
100,10,LT,7,179,conservative,1.0,0.8571
100,10,LV,6,180,conservative,1.0,1.0
100,10,MK,8,178,PCB,1.0,0.75
100,10,NL,6,180,conservative,1.0,1.0
100,10,NO,5,181,conservative,1.0,1.0
100,10,PL,10,176,conservative,1.0,1.0
100,10,PT,5,181,conservative,1.0,1.0
100,10,RS,4,182,conservative,1.0,1.0
100,10,SE,7,179,conservative,1.0,1.0
100,10,SI,4,182,conservative,1.0,1.0
100,10,SK,8,178,conservative,1.0,0.75
100,11,AT,8,154,PCB,1.0,1.0
100,11,BE,8,154,PCB,1.0,1.0
100,11,BG,6,156,PCB,0.1667,0.1667
100,11,CH,6,156,PCB,1.0,1.0
100,11,DE,7,155,PCB,1.0,1.0
100,11,EE,4,158,PCB,1.0,1.0
100,11,ES,6,156,PCB,1.0,1.0
100,11,FI,3,159,PCB,1.0,1.0
100,11,FR,5,157,PCB,1.0,1.0
100,11,GB,9,153,PCB,1.0,1.0
100,11,GR,8,154,PCB,0.625,0.375
100,11,HR,5,157,PCB,1.0,1.0
100,11,HU,8,154,PCB,0.875,0.875
100,11,IE,8,154,PCB,1.0,1.0
100,11,IS,2,160,PCB,1.0,1.0
100,11,IT,5,157,PCB,0.8,0.8
100,11,LT,5,157,PCB,1.0,1.0
100,11,LV,6,156,PCB,1.0,1.0
100,11,NL,7,155,PCB,1.0,1.0
100,11,NO,5,157,PCB,1.0,1.0
100,11,PL,5,157,PCB,1.0,1.0
100,11,PT,3,159,PCB,1.0,0.6667
100,11,RS,4,158,PCB,1.0,1.0
100,11,SE,7,155,PCB,1.0,1.0
100,11,SI,4,158,PCB,1.0,1.0
100,11,SK,7,155,PCB,0.8571,0.8571
100,11,UA,11,151,PCB,0.8182,0.8182
80,9,AT,9,187,conservative,1.0,0.8889
80,9,BE,9,187,conservative,1.0,1.0
80,9,BG,11,185,conservative,1.0,0.7273
80,9,CH,6,190,conservative,1.0,1.0
80,9,CZ,13,183,conservative,0.9231,0.7692
80,9,DE,8,188,conservative,1.0,1.0
80,9,DK,5,191,conservative,1.0,1.0
80,9,EE,5,191,conservative,1.0,1.0
80,9,ES,8,188,conservative,1.0,0.875
80,9,FI,7,189,conservative,1.0,1.0
80,9,FR,9,187,conservative,1.0,1.0
80,9,GB,11,185,conservative,1.0,1.0
80,9,HR,8,188,conservative,1.0,1.0
80,9,HU,8,188,conservative,0.75,0.375
80,9,IE,8,188,conservative,1.0,1.0
80,9,IS,2,194,conservative,1.0,1.0
80,9,IT,5,191,conservative,1.0,1.0
80,9,LT,10,186,conservative,0.9,0.8
80,9,LV,6,190,conservative,1.0,0.6667
