pool,min_n,essround,K,median_region_n,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,branch,gain_lcb,width_ratio,coverage,fallback
all countries,400,9,15,506,0.4398,0.3006,0.4608,0.0496,False,False,PCB,,0.9238,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,400,10,19,569,0.474,0.2776,0.417,0.0454,False,False,PCB,,0.9354,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,300,9,23,443,0.5116,0.3736,0.4255,0.0462,False,False,PCB,,0.889,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,300,9,13,430,0.8276,0.5629,1.4536,0.1432,True,False,conservative,,0.677,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,300,10,38,442,0.4303,0.3133,0.274,0.0319,False,False,PCB,,0.9295,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,300,10,20,407,0.438,0.2863,0.3822,0.0421,False,False,PCB,,0.9342,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,300,11,24,433,0.3668,0.2629,0.3576,0.0398,False,False,PCB,,0.9427,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,300,11,14,410,0.3303,0.2204,0.4689,0.0503,False,False,PCB,,0.954,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,200,9,80,272,0.5549,0.4621,0.2256,0.0274,False,False,PCB,,0.8557,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,200,9,40,279,0.5517,0.427,0.3521,0.0393,False,False,PCB,,0.8629,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,200,10,75,331,0.5253,0.4149,0.2201,0.0269,False,False,PCB,,0.8835,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,200,10,33,363,0.5122,0.3695,0.3254,0.0368,False,False,PCB,,0.8974,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,200,11,60,324,0.426,0.3436,0.2279,0.0276,False,False,PCB,,0.9188,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,200,11,32,319,0.3759,0.2855,0.2977,0.0342,False,False,PCB,,0.9397,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,150,9,114,231,0.5874,0.4909,0.1992,0.0249,True,False,conservative,,0.8402,0.8751,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,150,9,53,242,0.5351,0.4277,0.2697,0.0315,False,False,PCB,,0.8721,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,150,10,113,270,0.5564,0.4462,0.2007,0.025,False,False,PCB,,0.8682,0.875,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,150,10,52,260,0.5806,0.3904,0.3226,0.0365,False,False,PCB,,0.8877,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,150,11,106,230,0.4742,0.3962,0.1757,0.0227,False,False,PCB,,0.898,0.8773,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,150,11,52,233,0.4149,0.3196,0.234,0.0282,False,False,PCB,,0.9301,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,100,9,171,196,0.5407,0.4655,0.1549,0.0207,False,False,PCB,,0.8623,0.8793,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,100,9,74,211,0.6035,0.492,0.2545,0.0301,True,False,conservative,,0.8331,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,100,10,186,174,0.5606,0.4844,0.1486,0.0201,True,False,conservative,,0.8518,0.8799,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,100,10,78,186,0.5732,0.4364,0.2581,0.0304,False,False,PCB,,0.8668,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
