pool,min_n,essround,K,median_region_n,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,branch,gain_lcb,width_ratio,coverage,fallback
all countries,400,9,15,506,0.4705,0.3241,0.4807,0.0514,False,False,PCB,,0.9108,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,400,10,19,569,0.5177,0.3202,0.4499,0.0485,False,False,PCB,,0.9131,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,300,9,23,443,0.5304,0.3909,0.4387,0.0475,False,False,PCB,,0.8778,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,300,9,13,430,0.8262,0.5733,1.576,0.1547,True,False,conservative,,0.6613,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,300,10,38,442,0.4642,0.3383,0.2814,0.0326,False,False,PCB,,0.9173,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,300,10,20,407,0.453,0.288,0.3873,0.0426,False,False,PCB,,0.933,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,300,11,24,433,0.3835,0.2731,0.3626,0.0403,False,False,PCB,,0.9382,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,300,11,14,410,0.3411,0.2279,0.4726,0.0507,False,False,PCB,,0.9511,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,200,9,80,272,0.6097,0.5083,0.2465,0.0293,True,False,conservative,,0.822,0.9,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,200,9,40,279,0.5642,0.4353,0.3598,0.04,False,False,PCB,,0.857,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,200,10,75,331,0.5602,0.4435,0.2298,0.0278,False,False,PCB,,0.8659,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,200,10,33,363,0.528,0.3773,0.3324,0.0374,False,False,PCB,,0.8926,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,200,11,60,324,0.4357,0.3508,0.2304,0.0278,False,False,PCB,,0.9152,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
common NUTS level,200,11,32,319,0.3845,0.291,0.3005,0.0344,False,False,PCB,,0.9372,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,150,9,114,231,0.6422,0.5374,0.2213,0.027,True,False,conservative,,0.8048,0.873,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,150,9,53,242,0.5531,0.4403,0.2759,0.0321,False,False,PCB,,0.8637,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,150,10,113,270,0.6003,0.4786,0.2187,0.0267,True,False,conservative,,0.8466,0.8733,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,150,10,52,260,0.6199,0.4075,0.3538,0.0395,False,False,PCB,,0.8767,0.9,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
all countries,150,11,106,230,0.4865,0.4069,0.1793,0.023,False,False,PCB,,0.892,0.877,design noise negligible (ρ̂_LCB ≤ ρ₀) → clustered PCB
