deff,item,K,anypair,anypair_plugin,net,persist,persist_plugin,ratio,base_persist,base_ratio
1.5,imp_dem,59,23,36,19,12,21,3.0,14,2.5714285714285716
1.5,rej_leader,77,34,45,14,10,12,4.5,10,4.5
1.5,rej_army,76,24,39,16,6,10,6.5,6,6.5
1.5,sup_demsys,77,41,58,29,9,12,6.444444444444445,9,6.444444444444445
1.5,confid_parl,77,53,64,46,17,26,3.764705882352941,17,3.764705882352941
2.0,imp_dem,59,20,36,19,12,21,3.0,14,2.5714285714285716
2.0,rej_leader,77,32,45,14,10,12,4.5,10,4.5
2.0,rej_army,76,22,39,15,5,10,7.8,6,6.5
2.0,sup_demsys,77,33,58,23,7,12,8.285714285714286,9,6.444444444444445
2.0,confid_parl,77,51,64,43,14,26,4.571428571428571,17,3.764705882352941
