iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
8,Albania,confid_parl,77,0.0004997501249375312,True,True,2,3,4
31,Azerbaijan,confid_parl,77,0.0004997501249375312,True,True,2,3,6
70,Bosnia and Herzegovina,confid_parl,77,0.0004997501249375312,True,True,2,3,4
100,Bulgaria,confid_parl,77,0.0004997501249375312,True,True,2,3,5
218,Ecuador,confid_parl,77,0.0004997501249375312,True,True,2,6,7
818,Egypt,confid_parl,77,0.0004997501249375312,True,True,3,4,7
348,Hungary,confid_parl,77,0.0004997501249375312,True,True,3,1,5
368,Iraq,confid_parl,77,0.0004997501249375312,True,True,2,6,7
434,Libya,confid_parl,77,0.0004997501249375312,True,True,2,6,7
807,North Macedonia,confid_parl,77,0.0004997501249375312,True,True,2,3,4
646,Rwanda,confid_parl,77,0.0004997501249375312,True,True,2,5,6
826,United Kingdom,confid_parl,77,0.0004997501249375312,True,True,2,5,7
860,Uzbekistan,confid_parl,77,0.0004997501249375312,True,True,2,6,7
288,Ghana,confid_parl,77,0.018490754622688656,True,True,2,5,6
196,Cyprus,confid_parl,77,0.022988505747126436,True,True,3,5,7
344,Hong Kong SAR,confid_parl,77,0.02348825587206397,True,True,3,5,7
578,Norway,confid_parl,77,0.03798100949525238,True,True,2,3,5
703,Slovakia,confid_parl,77,0.12443778110944528,False,False,3,2,7
498,498,confid_parl,77,0.19290354822588707,False,False,3,3,5
12,Algeria,confid_parl,77,0.2513743128435782,False,False,2,4,6
702,702,confid_parl,77,0.27586206896551724,False,False,2,6,7
233,Estonia,confid_parl,77,0.32083958020989506,False,False,2,3,6
705,705,confid_parl,77,0.3663168415792104,False,False,3,3,6
642,642,confid_parl,77,0.5727136431784108,False,False,4,3,7
688,688,confid_parl,77,0.95952023988006,False,False,4,3,7
400,400,confid_parl,77,0.9820089955022488,False,False,4,4,7
152,152,confid_parl,77,1.0,False,False,6,2,7
156,156,confid_parl,77,1.0,False,False,5,2,7
158,158,confid_parl,77,1.0,False,False,4,3,7
170,170,confid_parl,77,1.0,False,False,4,3,7
276,276,confid_parl,77,1.0,False,False,4,3,7
32,32,confid_parl,77,1.0,False,False,7,1,7
356,356,confid_parl,77,1.0,False,False,6,2,7
36,36,confid_parl,77,1.0,False,False,5,1,7
360,360,confid_parl,77,1.0,False,False,3,4,7
364,364,confid_parl,77,1.0,False,False,3,4,7
392,392,confid_parl,77,1.0,False,False,7,1,7
410,410,confid_parl,77,1.0,False,False,7,1,7
417,417,confid_parl,77,1.0,False,False,3,4,7
458,458,confid_parl,77,1.0,False,False,3,5,7
50,50,confid_parl,77,1.0,False,False,3,3,7
