iso,country,m_items,p_pc_bonferroni,p_pc_simes,pc_bonferroni,pc_simes,n_certified_alpha10,certified_items,two_smallest_items
646,Rwanda,2,0.0004997501249375312,0.0004997501249375312,True,True,2,confid_parl;imp_dem,confid_parl;imp_dem
8,Albania,4,0.0014992503748125937,0.0007496251874062968,True,True,4,confid_parl;rej_army;rej_leader;sup_demsys,confid_parl;rej_army
31,Azerbaijan,4,0.0014992503748125937,0.0014992503748125937,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
70,Bosnia and Herzegovina,4,0.0014992503748125937,0.0014992503748125937,True,True,3,confid_parl;rej_army;rej_leader,confid_parl;rej_army
788,Tunisia,5,0.001999000499750125,0.0009995002498750624,True,True,3,imp_dem;rej_leader;sup_demsys,imp_dem;rej_leader
368,Iraq,5,0.001999000499750125,0.001999000499750125,True,True,2,confid_parl;imp_dem,confid_parl;imp_dem
860,Uzbekistan,5,0.001999000499750125,0.001999000499750125,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
218,Ecuador,5,0.005997001499250375,0.005997001499250375,True,True,3,confid_parl;imp_dem;sup_demsys,confid_parl;sup_demsys
756,Switzerland,4,0.010494752623688156,0.010494752623688156,True,True,2,rej_army;rej_leader,rej_leader;rej_army
422,Lebanon,5,0.01199400299850075,0.01199400299850075,True,True,2,imp_dem;rej_leader,rej_leader;imp_dem
246,Finland,4,0.035982008995502246,0.035982008995502246,True,True,2,rej_army;rej_leader,rej_army;rej_leader
288,Ghana,5,0.07396301849075462,0.07396301849075462,True,True,2,confid_parl;imp_dem,imp_dem;confid_parl
780,Trinidad and Tobago,5,0.14392803598200898,0.14392803598200898,False,False,2,rej_army;rej_leader,rej_leader;rej_army
703,Slovakia,4,0.3733133433283359,0.3733133433283359,False,False,1,sup_demsys,sup_demsys;confid_parl
112,Belarus,4,0.4992503748125937,0.4992503748125937,False,False,1,rej_army,rej_army;rej_leader
12,Algeria,4,0.545727136431784,0.3770614692653673,False,False,1,rej_leader,rej_leader;sup_demsys
233,Estonia,4,0.9625187406296851,0.9625187406296851,False,False,1,rej_leader,rej_leader;confid_parl
344,Hong Kong SAR,5,1.0,0.8855572213893054,False,False,1,confid_parl,confid_parl;sup_demsys
152,152,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
156,156,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
158,158,5,1.0,1.0,False,False,0,,rej_army;confid_parl
170,170,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
20,20,4,1.0,1.0,False,False,0,,imp_dem;rej_army
