deff,iso,country,m_items,p_pc_bonferroni,p_pc_simes,pc_bonferroni,pc_simes,n_certified_alpha10,certified_items,two_smallest_items
1.5,646,Rwanda,2,0.0009995002498750624,0.0009995002498750624,True,True,2,confid_parl;imp_dem,imp_dem;confid_parl
1.5,8,Albania,4,0.0014992503748125937,0.0007496251874062968,True,True,4,confid_parl;rej_army;rej_leader;sup_demsys,confid_parl;rej_army
1.5,70,Bosnia and Herzegovina,4,0.0014992503748125937,0.0014992503748125937,True,True,3,confid_parl;rej_army;rej_leader,confid_parl;rej_army
1.5,368,Iraq,5,0.001999000499750125,0.001999000499750125,True,True,2,confid_parl;imp_dem,confid_parl;imp_dem
1.5,788,Tunisia,5,0.001999000499750125,0.001999000499750125,True,True,3,imp_dem;rej_leader;sup_demsys,rej_leader;sup_demsys
1.5,860,Uzbekistan,5,0.001999000499750125,0.001999000499750125,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
1.5,31,Azerbaijan,4,0.0029985007496251873,0.0029985007496251873,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
1.5,218,Ecuador,5,0.02798600699650175,0.02798600699650175,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
1.5,422,Lebanon,5,0.035982008995502246,0.035982008995502246,True,True,2,imp_dem;rej_leader,rej_leader;imp_dem
1.5,756,Switzerland,4,0.05247376311844078,0.05247376311844078,True,True,2,rej_army;rej_leader,rej_leader;rej_army
1.5,246,Finland,4,0.1184407796101949,0.1184407796101949,False,False,2,rej_army;rej_leader,rej_army;rej_leader
1.5,288,Ghana,5,0.20189905047476261,0.20189905047476261,False,False,2,confid_parl;imp_dem,imp_dem;confid_parl
1.5,780,Trinidad and Tobago,5,0.3238380809595202,0.3238380809595202,False,False,2,rej_army;rej_leader,rej_leader;rej_army
1.5,703,Slovakia,4,0.6821589205397302,0.6821589205397302,False,False,1,sup_demsys,sup_demsys;confid_parl
1.5,112,Belarus,4,0.704647676161919,0.704647676161919,False,False,1,rej_army,rej_army;rej_leader
1.5,12,Algeria,4,0.7406296851574213,0.4737631184407796,False,False,1,rej_leader,rej_leader;sup_demsys
1.5,344,Hong Kong SAR,5,1.0,0.9965017491254373,False,False,1,confid_parl,confid_parl;sup_demsys
